着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,8,リコースパロー,牡4,57.0,澤田龍哉,1:25.3,,1,1.4,37.4,大井 荒山勝徳,525(+1)
2,1,1,ウナモンタナアルタ,牡7,55.0,和田譲治,1:26.3,5,2,4.9,38.6,大井 佐々木洋,534(-3)
3,8,10,マザオ,牡6,57.0,安藤洋一,1:26.4,3/4,4,19.6,38.1,大井 嶋田幸晴,534(+12)
4,5,5,オーシンロクゼロ,牡5,57.0,藤本現暉,1:26.5,クビ,6,38.0,36.8,大井 朝倉実,555(-14)
5,3,3,タイムモーメント,セ9,57.0,御神本訓,1:26.6,1/2,8,50.0,38.1,船橋 川島正一,495(+3)
6,6,7,ベニッシモ,セ7,57.0,菅原涼太,1:26.8,1.1/4,9,192.1,38.2,大井 堀千亜樹,474(+8)
7,4,4,ベジャール,牡7,57.0,桑村真明,1:26.9,クビ,10,257.4,37.9,大井 福永敏,565(+2)
8,7,9,ロードアラビアン,牡7,57.0,本田正重,1:27.3,2,3,5.7,39.3,大井 村上頼章,520(+1)
9,8,11,ユスティニアン,牡8,57.0,矢野貴之,1:27.4,1/2,5,19.6,38.0,大井 的場直之,467(+29)
10,2,2,グットディール,セ7,57.0,櫻井光輔,1:27.7,1.1/2,7,41.5,39.4,川崎 酒井忍,493(-4)
11,6,6,ハイエストポイント,牡8,57.0,西啓太,1:28.2,2.1/2,11,343.8,39.1,大井 橋本和馬,464(+2)
