着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,プリンセスデイジー,牝3,54.0,西啓太,1:44.3,,1,1.6,40.3,大井 田中正人,466(-1)
2,7,8,トウキョーアンナ,牝3,55.0,矢野貴之,1:44.4,3/4,2,4.4,40.8,船橋 石井勝男,500(-1)
3,8,10,ラミアメロディア,牝3,54.0,町田直希,1:45.1,3.1/2,6,16.5,40.2,川崎 秋山直之,385(-1)
4,3,3,ボートレーサー,牝3,54.0,桑村真明,1:45.1,アタマ,10,105.2,40.8,浦和 小久保智,467(+4)
5,5,5,トップエアデール,牝3,54.0,服部茂史,1:45.4,1.1/2,8,28.8,40.5,大井 橋本和馬,442(+1)
6,6,7,ファーマドール,牝3,55.0,吉井章,1:45.4,ハナ,7,21.6,41.8,大井 大宮和也,461(+1)
7,4,4,ペニーファウンテン,牝3,54.0,御神本訓,1:46.0,3,3,8.3,41.9,大井 渡辺和雄,461(-4)
8,2,2,ドレインザスワンプ,牝3,54.0,野畑凌,1:47.1,5,5,16.1,43.1,大井 村上頼章,455(-1)
9,6,6,オールインアリス,牝3,54.0,濱田達也,1:47.5,2,11,336.0,42.2,船橋 渋谷信博,373(0)
10,8,11,ビクトリアリリー,牝3,54.0,笹川翼,1:47.6,1/2,4,11.9,43.0,浦和 繁田健一,443(+6)
11,7,9,アメジストハート,牝3,54.0,高橋優,1:47.7,3/4,9,71.9,44.0,大井 渡辺和雄,460(+4)
