馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,リップスキップ,牝3,谷内貫,大井・嶋田幸晴,差し,46.4,7,4,3歳十 1,40.5,525(+5),大井,36,中4週,,,0,インカンテーション,メイショウオウドウ,
2,2,ジーティークィーン,牝3,和田譲,大井・中道啓二,先行,12.5,5,8,3歳八 九,40.3,428(-10),大井,21,中2週,,,0,アメリカンペイトリオット,エンパイアメーカー,
3,3,ウィルプレイス,牝3,達城龍,大井・大宮和也,差し,11.2,4,8,仙川賞(3歳),39.9,472(+3),大井,21,中2週,,,0,ヘニーヒューズ,ロックオブジブラルタル,
4,4,ダルトン,牡3,石川駿,大井・堀千亜樹,差し,27.8,6,7,仙川賞(3歳),38.5,454(-2),大井,21,中2週,,,0,マテラスカイ,オルフェーヴル,
5,5,ライスプディング,牝3,中山遥,大井・栗田裕光,差し,369.6,12,11,3歳十 1,44.0,428(-2),大井,21,中2週,,,0,ビーチパトロール,リンカーン,
6,5,ラバテラダンサー,牝3,杉山海,大井・高岩孝敏,差し,255.5,9,12,仙川賞(3歳),39.7,412(-7),大井,21,中2週,,,0,ヴァンゴッホ,ブラックタイド,
7,6,ユウユウチャパティ,牝3,横川怜,大井・大宮和也,差し,294.3,10,11,3歳八 九,40.7,441(+4),大井,21,中2週,,,0,マクフィ,マンハッタンカフェ,
8,6,リケアリングイネ,牝3,笹川翼,大井・福田真広,追込,2.1,1,1,まさ生誕(2歳),39.5,410(+10),金沢,100,中13週,,,2,リアルスティール,Kingman,
9,7,タイカン,牡3,吉井章,大井・月岡健二,先行,83.0,8,5,仙川賞(3歳),39.8,432(+2),大井,21,中2週,,,0,ゴールドドリーム,オルフェーヴル,
10,7,ホーリーモミジ,牡3,菅原涼,大井・堀千亜樹,逃げ,4.6,3,2,3歳 新馬,38.3,517(+7),大井,22,中2週,,,0,フォーウィールドライブ,ゴールドアリュール,
11,8,サマニデンカ,牡3,矢野貴,大井・高橋清顕,先行,3.0,2,3,2歳七 八,39.1,435(-6),大井,54,中7週,,,0,ファインニードル,ステイゴールド,
12,8,リュウノナナホシ,牝3,岡村健,大井・高岩孝敏,差し,305.3,11,9,仙川賞(3歳),40.3,484(+2),大井,21,中2週,,,0,パドトロワ,タップダンスシチー,
