馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,エースインフェルノ,牝3,達城龍,大井・嶋田幸晴,差し,14.3,7,7,3歳11,40.2,446(-7),大井,21,中2週,,,0,フィレンツェファイア,ゼンノロブロイ,
2,2,ファジーエンジェル,牝3,仲原大,大井・佐々木洋,差し,9.5,6,3,3歳11,39.4,492(0),大井,21,中2週,,,0,ラブリーデイ,ステイゴールド,
3,3,ウィルプレイス,牝3,千田洋,大井・大宮和也,差し,5.4,3,8,古川賞(3歳),40.6,473(+1),大井,20,中2週,,,0,ヘニーヒューズ,ロックオブジブラルタル,
4,4,アエノデラクルーズ,牡3,和田譲,大井・大宮和也,差し,4.7,2,5,3歳11,40.4,467(-8),大井,21,中2週,,,0,ビーチパトロール,ブライアンズタイム,
5,5,ヤマトシーダー,牝3,横川怜,大井・久保杉隆,差し,222.5,10,5,2歳 選抜,40.2,475(+4),大井,117,中16週,,,0,パドトロワ,トーセンダンス,
6,6,プレストセプター,牡3,江里口,大井・鷹見浩,追込,32.6,8,10,仙川賞(3歳),39.8,502(+3),大井,41,中5週,,,0,ラニ,コマンズ,
7,7,ケテンビート,牡3,笹川翼,大井・上杉昌宏,差し,5.8,4,13,3歳九 十,41.6,488(-1),大井,20,中2週,,,0,タワーオブロンドン,ファルブラヴ,
8,7,リップスキップ,牝3,谷内貫,大井・嶋田幸晴,差し,6.9,5,5,古川賞(3歳),40.5,521(-4),大井,20,中2週,,,0,インカンテーション,メイショウオウドウ,
9,8,ヤングオーオー,牝3,高橋優,大井・朝倉実,先行,121.4,9,12,3歳11,43.4,434(+4),大井,21,中2週,,,0,モーニン,スズカマンボ,
10,8,ニュークチュール,牝3,西啓太,大井・坂井英光,差し,3.1,1,4,2歳 選抜,40.3,451(+21),大井,151,中21週,,,0,マインドユアビスケッツ,ダイワメジャー,
