着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,11,アメージングビュー,牝4,54.0,矢野貴之,1:43.7,,1,4.2,39.3,大井 高橋清顕,453(-6)
2,1,1,ノーブルプライム,牡4,56.0,和田譲治,1:44.0,1.3/4,8,14.8,39.2,大井 佐野謙二,475(-3)
3,5,5,ナンセイスコピオン,牝6,54.0,鷹見陸,1:44.1,1/2,6,8.4,39.6,大井 米田英世,441(+2)
4,7,10,デルマアリエル,牡4,56.0,藤本現暉,1:44.4,1.1/2,7,9.0,39.7,大井 鈴木啓之,471(+2)
5,4,4,ヴィフアクター,牝4,51.0,▲高橋優,1:44.6,1,11,153.9,39.0,大井 須田和伸,452(-1)
6,6,8,レディヴィクトリア,牝8,53.0,☆中山遥人,1:44.9,1.1/2,3,5.3,40.4,大井 納谷和玖,430(0)
7,2,2,ナックリーガル,牡6,56.0,高橋昭平,1:45.4,2.1/2,5,8.3,40.3,大井 立花伸,534(+3)
8,7,9,ロードオブキング,牡4,56.0,笹川翼,1:45.7,1.3/4,4,7.9,41.3,大井 上杉昌宏,448(-3)
9,5,6,ゴールデンオージャ,牡8,56.0,横川怜央,1:46.2,2.1/2,2,4.5,41.1,大井 村上頼章,470(-2)
10,8,12,ジョーソーレ,牝5,54.0,田中洸多,1:46.4,1,12,344.7,41.3,大井 小野寺晋,448(0)
11,6,7,スマートビアンカ,牝5,54.0,瀬川将輝,1:46.4,クビ,10,133.8,41.0,大井 高岩孝敏,437(-9)
12,3,3,エイコーカイザー,牡5,56.0,本村直樹,1:47.9,7,9,19.3,42.3,大井 高岩孝敏,472(-2)
