馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ピースフィールド,セ4,達城龍,大井・納谷和玖,差し,34.8,8,6,C2八 九,40.0,471(+1),大井,13,中1週,,,0,インカンテーション,Giant's Causeway,
2,2,ヴァイスウィッチ,牝4,千田洋,大井・栗田裕光,先行,45.4,9,8,C2八 九,40.3,492(-1),大井,13,中1週,,,0,フォーウィールドライブ,フリオーソ,
3,3,ラストフロンティア,牡5,高野誠,大井・村上頼章,差し,22.2,5,3,C2十 (C211),38.4,447(+2),大井,14,中1週,,,0,シルバーステート,ザール,
4,4,オールズフェア,セ6,藤田凌,大井・中道啓二,先行,11.2,3,12,C2三 (C2四),41.4,525(+2),大井,11,中1週,,,0,デクラレーションオブウォー,サンデーサイレンス,
5,5,サントグラール,牝5,本田正,大井・蛯名雄太,追込,10.2,2,7,C2 選抜,38.3,455(+6),大井,11,中1週,,,0,グランデッツァ,マンハッタンカフェ,
6,5,ゲイシール,牡5,仲原大,大井・岡野尚光,追込,130.3,10,10,C2八 九,39.6,475(-3),大井,13,中1週,,,0,ホッコータルマエ,シンボリクリスエス,
7,6,グランダイト,セ4,西啓太,大井・荒井朋弘,差し,1.2,1,1,C213(C214),37.5,480(+2),大井,15,中1週,,,0,ドレフォン,ファルブラヴ,
8,6,ウイングウインド,牡8,田中洸,大井・橋本和馬,差し,11.9,4,5,C2十 (C211),38.9,484(-4),大井,14,中1週,,,0,シニスターミニスター,ブラックホーク,
9,7,アジアンゴールド,牝4,福原杏,大井・高野毅,追込,199.7,12,12,C2八 九,41.2,432(+1),大井,13,中1週,,,0,アジアエクスプレス,アグネスタキオン,
10,7,ガビーズファミリー,牝4,中山遥,大井・須田和伸,差し,29.6,7,4,C212(C213),38.8,446(-13),大井,133,中18週,,,0,ビッグアーサー,ステイゴールド,
11,8,ウェイトノーモア,牡4,吉井章,大井・的場直之,差し,24.5,6,13,立会川賞(C2),43.8,506(0),大井,14,中1週,,,0,ディープブリランテ,ゼンノロブロイ,
12,8,プレインコート,牝4,菅原涼,大井・堀千亜樹,差し,145.5,11,5,C2十 (C211),39.4,418(+1),大井,14,中1週,,,0,ロードカナロア,ハーツクライ,
