馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ライシアム,牡5,瀬川将,大井・月岡健二,差し,12.3,2,3,C2三,38.4,460(+1),大井,21,中2週,,,0,グレーターロンドン,ファルブラヴ,
2,2,グリスタン,牡4,吉井章,大井・澤佳宏,差し,115.6,9,12,おおぐま(C2),41.2,478(-6),大井,22,中2週,,,0,アドマイヤマーズ,キングカメハメハ,
3,3,マウリノ,牡5,高橋優,大井・渡辺和雄,逃げ,22.4,5,5,おおぐま(C2),40.7,475(+2),大井,22,中2週,,,0,レイデオロ,ディープインパクト,
4,4,フタバサクセス,牡4,藤本現,大井・鷹見浩,差し,20.2,4,7,おおぐま(C2),38.8,458(+1),大井,22,中2週,,,0,サンダースノー,ハービンジャー,
5,5,ショーシャンク,セ5,達城龍,大井・吉井竜一,差し,12.8,3,1,C2三,38.5,470(-6),大井,21,中2週,,,0,リオンディーズ,ネオユニヴァース,
6,6,コパカバーナ,牝4,杉山海,大井・荒井朋弘,先行,102.8,8,7,萌黄特別(C2),40.7,405(0),大井,23,中2週,,,0,オルフェーヴル,キングカメハメハ,
7,7,スペイスフォース,牡7,岡村健,大井・橋本和馬,差し,37.7,7,4,C2四 (C2五),40.0,502(-7),大井,19,中2週,,,0,アメリカンペイトリオット,ディープインパクト,
8,7,ミクニサンシャイン,牡4,笹川翼,大井・藤田輝信,先行,1.0,1,1,四谷見附(C2),39.5,540(0),大井,34,中4週,,,1,レッドファルクス,Spirit One,
9,8,ストロガノフ,牡4,中山遥,大井・佐野謙二,差し,118.2,10,11,C2十 (C211),43.1,466(0),大井,22,中2週,,,0,トウケイヘイロー,サウスヴィグラス,
10,8,トウテイラン,牝4,鷹見陸,大井・大宮和也,追込,35.1,6,6,おおぐま(C2),39.0,477(+6),大井,22,中2週,,,0,サトノクラウン,アドマイヤジャパン,
