着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,16,ホワイトマジック,牡4,56.0,矢野貴之,1:13.5,,3,5.0,37.9,大井 市村誠,458(+1)
2,4,7,クリティカルヒット,牡5,56.0,吉原寛人,1:14.1,3,5,12.1,37.7,大井 福永敏,585(+5)
3,7,13,ワンウェイ,牡5,56.0,野畑凌,1:14.3,1,4,5.4,37.8,大井 松浦裕之,524(0)
4,5,10,ヤマノウォーリア,牡6,56.0,藤本現暉,1:14.5,1.1/4,9,58.3,38.2,大井 佐々木洋,493(-4)
5,2,4,スキャロップ,牡4,56.0,E.シャ,1:15.0,2.1/2,16,166.8,39.4,大井 上杉昌宏,464(0)
6,2,3,キタサンユージャ,牡4,56.0,笹川翼,1:15.2,1,2,3.6,39.8,大井 米田英世,492(+1)
7,4,8,スプレンデンテ,牝6,54.0,藤田凌,1:15.4,1,6,12.6,38.9,大井 荒山勝徳,482(-3)
8,6,12,アフターレヴュー,牡4,56.0,岡村健司,1:15.4,クビ,8,38.4,39.4,大井 高岩孝敏,513(-2)
9,3,5,コーゲンシルバー,牡5,56.0,石川駿介,1:15.5,1/2,13,119.7,39.4,大井 井上弘之,468(-8)
10,1,2,ニンリル,牝4,54.0,和田譲治,1:15.7,3/4,11,81.2,39.8,大井 嶋田幸晴,471(+4)
11,5,9,ゴールドグラント,牝4,51.0,▲高橋優,1:15.7,ハナ,12,99.2,39.9,大井 嶋田幸晴,470(-5)
12,1,1,レーヴレジェンド,牡4,53.0,▲西優哉,1:16.0,1.1/2,7,21.9,40.6,大井 澤佳宏,483(-5)
13,3,6,ナックブレット,牡5,56.0,鷹見陸,1:16.0,アタマ,10,80.6,39.1,大井 立花伸,508(-2)
14,6,11,ヒョンニム,牡4,56.0,町田直希,1:17.1,5,14,122.2,40.0,大井 渡部則夫,475(+3)
15,7,14,マルヨジョーダン,セ6,55.0,☆中山遥人,1:17.4,1.1/2,1,3.5,41.7,大井 市村誠,496(+8)
16,8,15,グラスコメット,牝4,54.0,中村尚平,1:18.3,4,15,126.4,42.9,大井 上杉昌宏,463(-20)
