馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,イエローブリック,牡4,横山武,栗東・奥村豊,差し,12.5,3,10,4歳以上1勝クラス,40.0,540(+10),小倉,60,中8週,Y,,3,ブリックスアンドモルタル,クロフネ,
2,2,セイエイ,牡4,吉井章,大井・的場直之,先行,2.2,1,1,アクアマ(B2),37.3,498(+1),大井,35,中4週,,,0,エスポワールシチー,マイネルセレクト,
3,3,トリグラフ,牡7,石川倭,大井・福田真広,差し,187.9,13,5,プロキオ(B2B3),41.1,467(-3),川崎,9,連闘,,,0,サトノアラジン,クロフネ,
4,3,ミエノサンダー,牡6,西啓太,大井・坂井英光,先行,23.6,6,9,スノード(B2),41.6,510(+1),大井,21,中2週,,,0,バーディバーディ,Giant's Causeway,
5,4,ベンテイガ,セ7,笹川翼,大井・米田英世,追込,33.1,7,12,わかば賞(B2),40.4,498(-5),大井,23,中2週,,,0,ヘニーヒューズ,ブライアンズタイム,
6,4,ストラニエーロ,牝4,本田正,美浦・尾関知人,差し,35.8,8,12,4歳以上1勝クラス,34.4,453(+1),中京,25,中3週,Y,,3,キズナ,Dubawi,
7,5,アレンパ,牡4,吉原寛,大井・澤佳宏,差し,21.1,5,11,スノード(B2),40.9,522(+2),大井,21,中2週,,,0,ドレフォン,Medaglia d'Oro,
8,5,コスモフレディ,牡5,丹内祐,美浦・水野貴広,差し,12.5,4,3,フレンド(B2B3),41.5,481(+4),船橋,16,中1週,,,2,シニスターミニスター,トワイニング,
9,6,レイリ,牡7,藤本現,大井・上杉昌宏,差し,284.3,14,12,スノード(B2),40.9,541(-5),大井,21,中2週,,,0,キズナ,Successful Appeal,
10,6,モズユウガ,牡7,石川駿,大井・松浦裕之,差し,121.2,12,5,スノード(B2),39.7,513(+1),大井,21,中2週,,,0,ラブリーデイ,スペシャルウィーク,
11,7,ハニートースト,牡6,矢野貴,大井・藤田輝信,差し,42.0,9,5,アクアマ(B2),38.4,496(+3),大井,35,中4週,,,0,シニスターミニスター,メイショウボーラー,
12,7,トレインザマインド,セ4,御神本,美浦・中舘英二,差し,2.2,2,3,4歳以上1勝クラス,37.2,534(-14),東京,61,中8週,Y,,2,マインドユアビスケッツ,フジキセキ,
13,8,エースアビリティ,牡5,野畑凌,大井・福永敏,差し,98.6,11,8,スノード(B2),40.8,494(+5),大井,21,中2週,,,0,ヤマカツエース,モンテロッソ,
14,8,アスタールテニウム,牡5,Ｅ．シ,栗東・橋田宜長,先行,65.3,10,12,4歳以上1勝クラス,41.6,519(-3),小倉,60,中8週,Y,,3,ニューイヤーズデイ,More Than Ready,
