馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ファインデイ,牝5,吉井章,大井・松浦裕之,差し,31.0,6,6,C3一,41.3,458(-5),大井,23,中2週,,,0,レイデオロ,Harlan's Holiday,
2,2,マハーギータ,牝4,東原悠,大井・佐々木忠,差し,111.8,9,8,C3一,40.3,428(+3),大井,23,中2週,,,0,バゴ,ステイゴールド,
3,3,ヨシノルビー,牝4,張田昂,大井・市村誠,差し,150.7,12,12,C3五 六,40.0,413(0),大井,24,中2週,,,0,キモンノカシワ,サクラバクシンオー,
4,4,ゴールドタリスマン,牝5,中村尚,大井・井上弘之,逃げ,9.8,3,3,C3二 (C3三),40.3,441(+3),大井,22,中2週,,,0,タリスマニック,ステイゴールド,
5,4,フェアリーマイア,牝6,高橋優,大井・村上頼章,差し,37.3,7,5,C3七 八,37.8,414(+5),大井,25,中3週,,,0,レインボーライン,キャプテンスティーヴ,
6,5,イサゴールド,牝4,横川怜,大井・庄子昭彦,差し,121.0,10,7,C3五 六,38.7,422(-1),大井,24,中2週,,,0,サトノクラウン,ディープインパクト,
7,5,ノアサンサン,牝5,達城龍,大井・鷹見浩,差し,16.4,4,9,C3二 (C3三),41.9,465(+3),大井,22,中2週,,,0,シュヴァルグラン,キングカメハメハ,
8,6,ザゴート,牝6,杉山海,大井・荒井朋弘,差し,18.5,5,1,C3七 八,38.4,458(+1),大井,25,中3週,,,0,コパノリッキー,アドマイヤムーン,
9,6,ミラコレジェンヌ,牝4,矢野貴,大井・福永敏,先行,8.1,2,5,しながわ(3歳二),40.8,455(+22),大井,133,中18週,,,0,イスラボニータ,フレンチデピュティ,
10,7,イッツバッド,牝8,西優哉,大井・市村誠,追込,79.8,8,3,C3五 六,38.2,446(+1),大井,24,中2週,,,0,ヴァンセンヌ,デインヒル,
11,7,テルケンユミカブト,牝5,新原周,大井・澤佳宏,追込,124.5,11,12,C3七 八,40.5,502(+5),大井,39,中5週,,,0,アニマルキングダム,ディープインパクト,
12,8,ステーション,牝4,笹川翼,大井・福田真広,先行,1.2,1,2,C3五 六,38.1,509(-2),大井,24,中2週,,,0,オルフェーヴル,ダイワメジャー,
13,8,アイズアフロディテ,牝4,Ｅ．シ,大井・渡部則夫,差し,183.6,13,8,3歳C1二,40.0,504(+24),水沢,213,中29週,,Y,0,ディーマジェスティ,エアジハード,
