着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,12,ステーション,牝4,54.0,笹川翼,1:28.2,,1,1.2,38.5,大井 福田真広,509(-2)
2,5,7,ノアサンサン,牝5,54.0,達城龍次,1:28.6,2,4,16.4,38.3,大井 鷹見浩,465(+3)
3,1,1,ファインデイ,牝5,54.0,吉井章,1:28.9,1.1/2,6,31.0,38.1,大井 松浦裕之,458(-5)
4,4,5,フェアリーマイア,牝6,51.0,▲高橋優,1:28.9,クビ,7,37.3,38.5,大井 村上頼章,414(+5)
5,5,6,イサゴールド,牝4,54.0,横川怜央,1:29.2,1.1/2,10,121.0,39.1,大井 庄子昭彦,422(-1)
6,4,4,ゴールドタリスマン,牝5,54.0,中村尚平,1:29.3,1/2,3,9.8,40.6,大井 井上弘之,441(+3)
7,3,3,ヨシノルビー,牝4,54.0,張田昂,1:29.3,ハナ,12,150.7,38.7,大井 市村誠,413(0)
8,6,8,ザゴート,牝6,51.0,▲杉山海波,1:29.9,3,5,18.5,41.1,大井 荒井朋弘,458(+1)
9,7,10,イッツバッド,牝8,51.0,▲西優哉,1:30.0,クビ,8,79.8,38.4,大井 市村誠,446(+1)
10,6,9,ミラコレジェンヌ,牝4,54.0,矢野貴之,1:30.2,1,2,8.1,40.8,大井 福永敏,455(+22)
11,2,2,マハーギータ,牝4,54.0,東原悠善,1:30.2,クビ,9,111.8,40.7,大井 佐々木忠,428(+3)
12,7,11,テルケンユミカブト,牝5,54.0,新原周馬,1:31.6,7,11,124.5,38.7,大井 澤佳宏,502(+5)
13,8,13,アイズアフロディテ,牝4,54.0,E.シャ,1:32.3,3.1/2,13,183.6,40.6,大井 渡部則夫,504(+24)
