着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,8,ティーズリンク,牝4,54.0,佐野遥久,1:28.7,,5,13.3,37.7,大井 須田和伸,444(-2)
2,6,6,アシセバイラ,牝5,54.0,矢野貴之,1:29.1,2,2,7.8,37.6,大井 高橋清顕,493(-2)
3,5,5,シルフラ,牝4,53.0,☆中山遥人,1:29.2,1/2,4,12.0,38.4,大井 栗田泰昌,463(+3)
4,4,4,ステーション,牝4,54.0,笹川翼,1:29.2,アタマ,1,1.2,38.5,大井 福田真広,507(-2)
5,1,1,アリーバ,牝5,54.0,高橋昭平,1:29.6,2,9,236.7,38.5,大井 立花伸,423(0)
6,2,2,ビップクララ,牝4,54.0,野畑凌,1:29.9,1.3/4,3,8.1,38.8,大井 荒井朋弘,464(+2)
7,8,9,コパカバーナ,牝4,51.0,▲杉山海波,1:30.4,2.1/2,6,54.4,38.6,大井 荒井朋弘,410(+5)
8,3,3,ジョーソーレ,牝5,54.0,田中洸多,1:30.4,アタマ,10,260.7,38.9,大井 小野寺晋,448(0)
9,7,7,デルタウェーブ,牝4,54.0,藤田凌,1:31.4,5,7,91.6,39.7,大井 堀江仁,497(-2)
10,8,10,ティエルナトート,牝4,51.0,▲西優哉,1:31.5,3/4,8,213.1,39.4,大井 田中正人,483(+3)
