馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ジャスミンツー,牝4,本橋孝,大井・米田英世,差し,7.0,4,4,C1六 七,36.8,477(-3),大井,14,中1週,,,0,ダノンレジェンド,アイルハヴアナザー,
2,2,コスモトロイメル,牝4,鷹見陸,大井・宗形竹見,差し,13.1,6,3,C1六 七,37.6,461(0),大井,14,中1週,,,0,ダノンバラード,サクラバクシンオー,
3,3,ゴッドバーグ,セ4,Ｅ．シ,大井・藤田輝信,差し,5.8,3,,,0.0,466(-28),大井,146,中20週,,,0,ゴールドドリーム,サウスヴィグラス,
4,3,ヤンノカステップ,牝6,達城龍,大井・鷹見浩,差し,64.3,11,7,C1六 七,36.9,432(+3),大井,14,中1週,,,0,サトノクラウン,チチカステナンゴ,
5,4,シェーンプリマー,牝6,本田正,大井・福永敏,差し,4.5,2,8,C1六 七,38.1,490(+5),大井,14,中1週,,,0,リアルスティール,アグネスデジタル,
6,4,マドモアゼルレンヌ,牝5,佐野遥,大井・阪本一栄,先行,95.2,12,12,C1六 七,40.7,447(-2),大井,14,中1週,,,0,フリオーソ,アフリート,
7,5,テクノデザイン,牝6,東原悠,大井・庄子昭彦,追込,26.7,8,6,4歳以上1勝クラス,34.5,440(+6),中京,46,中6週,Y,,3,ロゴタイプ,アグネスタキオン,
8,5,ナックブレット,牡5,石川倭,大井・立花伸,差し,,,13,C1三 (C1四),39.1,505(-3),大井,13,中1週,,,0,ヘニーヒューズ,キングカメハメハ,
9,6,アシャニンカ,牝5,笹川翼,大井・米田英世,差し,21.6,7,6,雪華特別(C1),39.1,473(+1),大井,125,中17週,,,0,ダノンレジェンド,フジキセキ,
10,6,フレンドリーシップ,牝4,,大井・嶋田幸晴,追込,140.7,13,10,ロイヤル(C1六),39.7,426(+6),大井,224,中31週,,Y,0,タリスマニック,Forest Wildcat,
11,7,ドピエッタ,牝4,藤本現,大井・須田和伸,差し,36.1,10,5,雪華特別(C1),37.8,488(-5),大井,125,中17週,,,0,コパノリッキー,Congrats,
12,7,ジャティルウィ,牡5,藤田凌,大井・中道啓二,差し,8.6,5,11,C1六 七,37.2,549(0),大井,14,中1週,,,0,ヘニーハウンド,フィガロ,
13,8,アルマヴィーナス,牝4,矢野貴,大井・中道啓二,先行,2.9,1,1,C2四 (C2五),37.6,473(-2),大井,12,中1週,,,0,サトノダイヤモンド,メジロベイリー,
14,8,インサイダー,セ5,,大井・高橋清顕,差し,225.1,14,11,C1六 七,39.4,476(-7),大井,14,中1週,,,0,イスラボニータ,ホワイトマズル,
