着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,ディルムッド,牡4,56.0,笹川翼,1:56.9,,2,3.2,39.4,大井 穂刈隆志,528(-10)
2,5,8,サガノオウマサン,セ5,56.0,吉原寛人,1:56.9,クビ,8,34.4,38.6,大井 栗田泰昌,445(+1)
3,5,9,アレグランサ,牡4,56.0,達城龍次,1:57.0,クビ,4,7.6,39.5,大井 吉井竜一,503(-3)
4,2,3,オンリーユーズド,セ4,56.0,江里口裕,1:57.3,1.3/4,5,14.4,39.9,大井 上杉昌宏,483(-2)
5,7,12,リアルモハメド,セ5,55.0,☆中山遥人,1:57.7,2,6,15.9,40.0,大井 福永敏,490(-1)
6,6,11,ファーストメイト,牡5,56.0,福原杏,1:57.9,1,3,7.3,39.3,大井 阪本一栄,476(0)
7,1,1,ボラボラフレイバー,牡6,56.0,野畑凌,1:58.1,3/4,9,48.2,40.3,大井 月岡健二,461(+6)
8,3,5,キャロルビアンカ,牝6,51.0,▲杉山海波,1:58.2,1/2,12,124.2,39.2,大井 松浦裕之,498(+3)
9,2,2,ナンセイコウタロー,牡4,56.0,鷹見陸,1:58.8,3,14,185.0,40.4,大井 米田英世,506(-2)
10,8,14,マルチライセンス,セ5,56.0,古岡勇樹,1:59.0,1,15,486.5,40.4,大井 遠藤茂,470(-8)
11,3,4,ケンオーシャン,牡4,56.0,藤本現暉,1:59.1,クビ,11,90.8,40.3,大井 高橋清顕,487(-4)
12,4,7,トーアナカヨシ,牝4,54.0,藤田凌,1:59.4,1.3/4,10,76.8,41.3,大井 堀江仁,482(+13)
13,7,13,ストライクノワール,牡5,56.0,町田直希,1:59.5,1/2,7,22.3,41.4,大井 宗形竹見,472(-9)
14,6,10,ハイアップグレード,牡4,56.0,安藤洋一,1:59.9,2,13,178.4,41.6,大井 松浦裕之,504(-4)
中止,4,6,デュードサンライズ,牡5,56.0,矢野貴之,,,1,2.4,,大井 森下淳平,499(-1)
