着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,5,エヌケイサイボウ,牡3,56.0,佐野遥久,1:42.4,,3,4.8,39.0,大井 蛯名雄太,423(-3)
2,3,3,ルビーディーゼル,牡3,56.0,矢野貴之,1:42.8,2,2,3.4,39.0,大井 立花伸,508(+4)
3,8,9,ロンギングスター,牡3,56.0,達城龍次,1:42.8,クビ,5,9.9,39.4,大井 的場直之,530(-6)
4,8,10,ブライトドリーム,牡3,56.0,藤田凌,1:43.3,2.1/2,1,3.1,39.9,大井 高野毅,491(0)
5,4,4,キャリアラダー,牡3,53.0,▲西優哉,1:43.4,1/2,4,8.1,39.2,大井 澤佳宏,436(-3)
6,6,6,ワカチーコ,牝3,54.0,野畑凌,1:43.4,アタマ,9,22.2,39.6,大井 松浦裕之,454(+5)
7,1,1,ツカイノトリ,牝3,54.0,藤本現暉,1:43.8,2,8,20.4,39.6,大井 阪本一栄,457(0)
8,7,7,ディアモアー,牝3,51.0,▲杉山海波,1:44.2,2,7,18.7,39.5,大井 納谷和玖,427(+2)
9,2,2,コスモサイテス,牡3,56.0,安藤洋一,1:44.2,アタマ,10,75.4,39.3,大井 宗形竹見,440(-11)
10,7,8,バブリーショーコー,牝3,53.0,☆中山遥人,1:44.7,2.1/2,6,18.2,40.4,大井 福永敏,443(+4)
