着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,5,スコッチキルト,牡7,56.0,藤本現暉,1:44.7,,2,4.4,40.6,大井 赤嶺亮,491(+6)
2,8,14,ファイストス,牝5,51.0,▲西優哉,1:45.5,4,12,66.5,41.6,大井 須田和伸,464(-10)
3,4,6,サブノルアナ,牝4,53.0,☆中山遥人,1:45.6,1/2,10,35.6,40.7,大井 阪本一栄,454(+3)
4,2,2,トウキョーバサラ,牝5,51.0,▲杉山海波,1:45.6,アタマ,11,47.4,40.9,大井 村上頼章,392(-4)
5,3,4,アストラン,セ4,56.0,達城龍次,1:45.6,クビ,5,9.8,40.9,大井 久保杉隆,470(-1)
6,1,1,ケルティックハーツ,牡4,56.0,野畑凌,1:46.0,2,1,2.4,42.1,大井 中道啓二,511(+5)
7,7,11,ブラントンアロー,牡5,56.0,濱田達也,1:46.3,1.1/2,9,35.1,41.1,大井 須田和伸,464(+1)
8,6,10,テンポルバート,牝6,54.0,田中洸多,1:46.3,ハナ,3,7.9,41.6,大井 荒井朋弘,496(-2)
9,8,13,リュウグウノユメ,牝4,54.0,菅原涼太,1:46.5,3/4,8,33.0,42.6,大井 橋本和馬,439(0)
10,5,8,ウォーバックス,セ8,56.0,岡村健司,1:46.9,2,4,8.3,41.4,大井 遠藤茂,460(-5)
11,7,12,ベッティーナ,牝5,54.0,古岡勇樹,1:46.9,アタマ,6,13.4,41.7,大井 遠藤茂,438(-3)
12,6,9,エクスプローラー,牡7,56.0,本村直樹,1:47.1,1,13,77.4,42.1,大井 納谷和玖,471(0)
13,3,3,ヘデンバージャイト,牝5,54.0,石川駿介,1:47.8,3.1/2,7,17.6,43.5,大井 松浦裕之,489(+2)
取消,5,7,テルケンユミカブト,牝5,54.0,新原周馬,,,,,,大井 澤佳宏,
