馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ゴールドフリーザ,牡3,藤本現,大井・久保杉隆,追込,39.9,10,6,3歳12(3歳13),41.1,461(-3),大井,23,中2週,,,0,ディーマジェスティ,スペシャルウィーク,
2,2,ルビースターク,牡3,達城龍,大井・立花伸,差し,33.7,9,4,3歳12(3歳13),39.8,485(+11),大井,23,中2週,,,0,タイセイレジェンド,ネオユニヴァース,
3,3,アオゾラプール,牡3,藤田凌,大井・須田和伸,逃げ,2.3,1,4,2歳 新馬,39.5,488(+9),大井,169,中23週,,,0,キズナ,Le Havre,
4,3,ヴェールジャルダン,牝3,杉山海,大井・岡野尚光,差し,52.2,11,12,3歳九 (3歳十),41.1,454(+2),大井,22,中2週,,,0,ビーチパトロール,ゴールドアリュール,
5,4,デスピナ,牝3,西優哉,大井・大宮和也,差し,84.4,12,8,3歳12(3歳13),43.6,439(+7),大井,23,中2週,,,0,ワンアンドオンリー,ゴールドアリュール,
6,4,ルカドリーマー,牝3,本田正,大井・朝倉実,差し,12.0,5,7,3歳九 (3歳十),41.6,470(-2),大井,22,中2週,,,0,ミッキーグローリー,キングカメハメハ,
7,5,モノセロス,牡3,中村尚,大井・渡辺和雄,追込,20.4,6,3,3歳12(3歳13),39.6,500(-11),大井,23,中2週,,,0,セイウンコウセイ,マツリダゴッホ,
8,5,エマーユ,牝3,西啓太,大井・真島大輔,先行,4.7,2,2,3歳 選抜,41.1,439(-1),大井,23,中2週,,,0,スズカコーズウェイ,モーリス,
9,6,ニュアンスカラー,牡3,安藤洋,大井・市村誠,差し,4.9,3,2,3歳12(3歳13),40.5,478(+3),大井,23,中2週,,,0,スマートファルコン,プリサイスエンド,
10,6,ローレンモンブラン,牡3,横川怜,大井・鈴木啓之,追込,24.0,8,5,3歳12(3歳13),41.1,460(-3),大井,23,中2週,,,0,フリオーソ,Kingmambo,
11,7,ライスプディング,牝3,高橋優,大井・栗田裕光,追込,450.1,14,10,3歳12(3歳13),44.1,430(-1),大井,23,中2週,,,0,ビーチパトロール,リンカーン,
12,7,ジョテイ,牝3,矢野貴,大井・大宮和也,差し,20.7,7,7,3歳C2一,40.9,459(+7),園田,49,中6週,,,0,パイロ,アグネスタキオン,
13,8,ビハインドヘッド,牡3,木澤奨,大井・朝倉実,追込,111.0,13,4,3歳12(3歳13),41.4,470(0),大井,23,中2週,,,0,クリエイターII,カジノドライヴ,
14,8,ノイエスジール,牡3,野畑凌,大井・穂刈隆志,差し,11.7,4,3,3歳12(3歳13),42.1,544(+4),大井,23,中2週,,,0,クリソベリル,エンパイアメーカー,
