馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ファーマアップ,牝3,谷内貫,大井・須田和伸,差し,208.7,13,3,3歳 選抜,39.5,440(+9),大井,24,中2週,,,0,ミスターメロディ,Orientate,
2,2,バブリーショーコー,牝3,藤田凌,大井・福永敏,差し,177.2,12,10,3歳四 五,40.4,437(-6),大井,20,中2週,,,0,ストロングリターン,メイショウボーラー,
3,3,リノカ,牝3,安藤洋,大井・米田英世,差し,4.6,3,5,,38.3,421(+2),大井,21,中2週,,,0,レイデオロ,ハーツクライ,
4,4,ハッチン,牝3,本田正,大井・福永敏,差し,11.0,5,3,3歳四 五,38.4,474(-2),大井,20,中2週,,,0,フォーウィールドライブ,ナカヤマフェスタ,
5,4,ナギサノルナ,牝3,矢野貴,大井・朝倉実,逃げ,3.9,2,1,六花賞(2歳),38.0,472(-1),大井,141,中19週,,,0,キセキ,エンパイアメーカー,
6,5,ドレインザスワンプ,牝3,西優哉,大井・村上頼章,差し,56.7,8,6,3歳一 (3歳二),38.4,452(-2),大井,20,中2週,,,0,イスラボニータ,ディープブリランテ,
7,5,ゴールドカグヤヒメ,牝3,鷹見陸,大井・上杉昌宏,差し,8.5,4,3,3歳 選抜,39.0,484(+13),大井,127,中17週,,,0,トビーズコーナー,プリサイスエンド,
8,6,ハヤマデイズ,牝3,岡村健,大井・穂刈隆志,差し,105.2,9,8,3歳一 (3歳二),41.5,465(+8),大井,20,中2週,,,0,アポロケンタッキー,ドゥラメンテ,
9,6,ラストラブラブ,牝3,野畑凌,大井・荒井朋弘,差し,111.7,10,5,2歳二 三,41.5,472(+2),大井,224,中31週,,Y,0,ディープブリランテ,クロフネ,
10,7,スクラッチクラッチ,牝3,高橋優,大井・佐野謙二,差し,175.3,11,6,3歳一 (3歳二),40.5,467(-4),大井,34,中4週,,,0,クラグオー,カコイーシーズ,
11,7,リヨンド,牝3,中山遥,大井・赤嶺亮,逃げ,17.3,6,6,3歳一 (3歳二),40.3,504(-2),大井,20,中2週,,,0,タイセイレジェンド,ゴールドヘイロー,
12,8,エリザベートバディ,牝3,山中悠,大井・中道啓二,差し,18.1,7,4,あおば特(3歳二),38.3,481(+5),大井,20,中2週,,,0,ポアゾンブラック,ゴールドアリュール,
13,8,シビックフォイル,牝3,笹川翼,大井・米田英世,差し,2.4,1,9,,41.4,457(0),大井,21,中2週,,,0,フォーウィールドライブ,バゴ,
