着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,13,ペレグリン,牝5,55.0,M.デム,1:11.9,,2,6.3,37.2,栗東 河嶋宏樹,436(-4)
2,7,11,オトメナシャチョウ,牝4,55.0,丸山元気,1:12.2,1.3/4,3,8.1,37.7,栗東 森秀行,494(+10)
3,4,4,ラーナローザ,牝4,55.0,矢野貴之,1:12.3,1/2,4,13.2,37.6,美浦 畠山吉宏,497(+1)
4,6,9,ブルーノート,牡7,57.0,田口貫太,1:12.4,3/4,9,49.8,37.3,栗東 梅田智之,508(-8)
5,5,6,ゴールデンブザー,牡5,55.0,達城龍次,1:12.8,2,11,176.2,36.8,大井 宗形竹見,530(+9)
6,2,2,ヴィクトリーロード,牡6,57.0,菊澤一樹,1:12.8,アタマ,7,26.0,37.2,美浦 畠山吉宏,486(-2)
7,7,10,ネオトキオ,牡6,57.0,安藤洋一,1:12.9,3/4,1,1.5,36.2,大井 荒山勝徳,460(+4)
8,6,8,ヘルメース,牡5,57.0,黛弘人,1:13.0,クビ,8,47.9,38.1,美浦 伊藤圭三,490(-8)
9,8,12,ムーム,牝5,55.0,御神本訓,1:13.4,2,6,17.5,38.9,大井 橋本和馬,478(-3)
10,4,5,ゼルトザーム,牡5,57.0,笹川翼,1:13.8,2,5,14.0,37.4,大井 福永敏,500(+2)
11,1,1,ベニシア,牝5,55.0,江田照男,1:14.2,2,10,62.6,38.5,美浦 粕谷昌央,450(+10)
12,5,7,アイアンサイズ,牡7,55.0,中山遥人,1:14.9,3.1/2,13,429.5,39.6,大井 佐宗応和,472(0)
13,3,3,ロアリングルックス,牡6,55.0,菅原涼太,1:17.5,大,12,178.4,41.4,大井 堀江仁,505(+5)
