着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,11,ブルーリベリュール,牝5,54.0,新原周馬,1:13.6,,7,15.6,38.7,大井 蛯名雄太,466(-1)
2,4,5,シカレ,牝4,51.0,▲杉山海波,1:14.2,3,6,11.6,38.9,大井 高岩孝敏,442(-1)
3,5,7,クチャモザクワジャ,牡7,53.0,▲小野俊斗,1:14.5,1.1/2,3,5.4,39.1,大井 宗形竹見,523(0)
4,3,3,イロンデル,牡5,56.0,高野誠毅,1:14.5,アタマ,1,3.0,38.3,大井 高橋清顕,495(-1)
5,8,12,コトリノサエズリ,牝4,51.0,▲高橋優,1:14.6,1/2,5,10.6,39.5,大井 鷹見浩,505(+2)
6,6,9,タガノサダフ,牡4,53.0,▲木澤奨,1:14.6,ハナ,10,41.3,39.0,大井 村上頼章,475(-3)
7,4,4,リコーヘンメリー,牡6,56.0,藤田凌,1:14.9,1.1/2,2,4.5,39.1,大井 蛯名雄太,473(-2)
8,8,13,シタパンツ,牡4,56.0,鷹見陸,1:15.5,3,8,31.3,40.2,大井 立花伸,460(+3)
9,6,8,ミネソタ,牡7,56.0,本橋孝太,1:15.8,1.3/4,9,34.3,39.0,大井 松浦裕之,524(+2)
10,1,1,オーヴァーザトップ,牡5,56.0,野畑凌,1:15.9,1/2,11,127.3,39.7,大井 佐宗応和,505(+2)
11,5,6,ラッケンブース,牝4,54.0,田中洸多,1:16.2,1.3/4,12,175.5,40.6,大井 小野寺晋,495(+9)
12,7,10,オオサキサンダー,牡4,56.0,岡村健司,1:16.5,1.1/2,13,231.9,39.7,大井 遠藤茂,412(-10)
13,2,2,マスターキー,牡6,56.0,藤本現暉,1:17.3,4,4,5.7,42.4,大井 鷹見浩,531(+1)
