着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,10,イイデテッシン,牡4,56.0,笹川翼,1:57.2,,1,1.7,39.5,大井 村上頼章,516(0)
2,7,8,フタバサクセス,牡4,56.0,藤本現暉,1:57.3,3/4,4,7.6,39.5,大井 鷹見浩,453(-6)
3,8,9,シャークウォーニン,牡8,55.0,☆中山遥人,1:58.6,6,6,31.3,40.4,大井 佐宗応和,480(+6)
4,1,1,ライシアム,牡5,56.0,吉井章,1:58.9,1.1/2,2,4.1,40.8,大井 月岡健二,457(-3)
5,6,6,アンタンシオン,牝4,54.0,矢野貴之,1:59.4,2.1/2,3,5.2,41.8,大井 福永敏,504(+21)
6,5,5,コスモギンガ,牝9,54.0,田中洸多,1:59.7,1.1/2,8,167.1,40.7,大井 小野寺晋,482(-3)
7,2,2,ハックルベリー,牡4,56.0,藤田凌,2:00.5,4,5,19.6,42.4,大井 佐野謙二,516(+3)
8,7,7,トウテイラン,牝4,54.0,鷹見陸,2:00.6,3/4,7,35.4,41.8,大井 大宮和也,473(0)
9,4,4,マジェスティルール,牡4,53.0,▲木澤奨,2:01.1,2.1/2,9,170.5,41.3,大井 村上頼章,425(+3)
10,3,3,ベアウェイトゥゴー,牝5,54.0,松崎正泰,2:02.4,6,10,308.4,41.4,大井 佐々木忠,489(+1)
