着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,リバイブメイラード,セ4,53.0,▲西優哉,1:43.8,,5,7.9,39.6,大井 大宮和也,449(-1)
2,6,6,ハカイシン,牡6,56.0,安藤洋一,1:43.9,3/4,4,6.8,39.8,大井 渡辺和雄,554(-4)
3,2,2,ノビシロ,セ6,56.0,東原悠善,1:44.0,クビ,3,4.9,39.5,大井 渡部則夫,540(+1)
4,5,5,ワールドフォンテン,牡6,53.0,▲杉山海波,1:44.1,1/2,1,2.7,39.9,大井 井上弘之,457(+1)
5,4,4,カルサパラストリス,セ4,55.0,☆中山遥人,1:44.2,3/4,8,25.0,39.3,大井 阪本一栄,438(+11)
6,7,7,ジルクン,牡4,56.0,笹川翼,1:44.4,3/4,2,3.9,39.8,大井 月岡健二,419(+1)
7,7,8,レディヴィクトリア,牝8,54.0,達城龍次,1:44.6,1,6,17.2,40.6,大井 納谷和玖,441(+8)
8,8,10,スマートビアンカ,牝5,54.0,岡村健司,1:45.4,4,7,21.5,40.4,大井 高岩孝敏,439(0)
9,8,9,ゴールデンオージャ,牡8,53.0,▲木澤奨,1:46.2,4,9,53.0,41.8,大井 村上頼章,473(-2)
10,3,3,ジョーソーレ,牝5,54.0,田中洸多,1:46.8,3,10,217.9,41.7,大井 小野寺晋,453(+6)
