着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,8,フルム,セ7,56.0,和田譲治,1:11.4,,1,2.1,35.5,大井 渡辺和雄,497(-1)
2,8,11,サトノテンペスト,牡8,56.0,笹川翼,1:11.5,3/4,2,3.7,36.2,大井 真島大輔,512(-1)
3,8,12,ワンダーランド,牡6,56.0,本橋孝太,1:11.5,ハナ,5,13.2,36.0,船橋 林正人,475(+4)
4,3,3,ナスティウェザー,牡5,56.0,本田正重,1:11.7,1,3,6.7,35.6,大井 坂井英光,475(-1)
5,5,6,ギガース,セ5,56.0,澤田龍哉,1:11.9,1,4,12.7,35.6,船橋 佐藤裕太,497(-10)
6,7,9,ポリゴンウェイヴ,牡6,56.0,山中悠希,1:12.3,2,6,13.7,37.3,浦和 小久保智,506(+4)
7,1,1,マンダリンヒーロー,牡6,56.0,安藤洋一,1:12.4,1/2,10,92.8,35.9,大井 藤田輝信,502(-4)
8,6,7,ドリームビリーバー,牡7,56.0,藤田凌,1:12.5,3/4,8,22.7,36.0,大井 阪本一栄,474(+1)
9,5,5,カールスバート,牡8,56.0,西啓太,1:12.7,1,12,295.6,36.0,船橋 斉藤敏,492(+9)
10,4,4,シーサーペント,牡6,56.0,藤本現暉,1:12.8,3/4,11,101.2,37.5,浦和 小久保智,507(+18)
11,2,2,ルイス,牡6,54.0,矢野貴之,1:13.0,1,7,18.1,36.8,大井 月岡健二,505(-4)
12,7,10,ミルトクレイモー,牡6,56.0,御神本訓,1:14.3,6,9,60.2,39.2,大井 橋本和馬,522(+5)
