馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,タリース,牝2,安藤洋,大井・藤田輝信,,5.1,3,,,,434(0),,,,,,,サトノジェネシス,Pour Moi,
2,2,タワーコンサート,牡2,吉井章,大井・的場直之,,22.2,6,,,,472(0),,,,,,,タワーオブロンドン,サクラプレジデント,
3,3,イノデジュエル,牝2,矢野貴,大井・鷹見浩,,4.5,2,,,,440(0),,,,,,,キセキ,タニノギムレット,
4,4,ダスマパーティ,牝2,田中洸,大井・小野寺晋,,114.5,10,,,,450(0),,,,,,,イスラボニータ,Lawman,
5,5,カチャ,牝2,藤本現,大井・赤嶺亮,,45.0,8,,,,410(0),,,,,,,アドマイヤマーズ,タニノギムレット,
6,6,クルジェムゲーム,牝2,笹川翼,大井・宗形竹見,,12.0,4,,,,423(0),,,,,,,ベンバトル,ステイゴールド,
7,7,パープルフォッグ,牝2,西啓太,大井・坂井英光,,1.7,1,,,,466(0),,,,,,,モズアスコット,ディープブリランテ,
8,7,ヤマショウプリンス,牡2,菅原涼,大井・堀千亜樹,,94.3,9,,,,399(0),,,,,,,ホークビル,シルバーステート,
9,8,シンプウキセキ,牡2,和田譲,大井・須田和伸,,21.8,5,,,,498(0),,,,,,,Ghostzapper,ストリートセンス,
10,8,ルックライクレイン,牝2,鷹見陸,大井・米田英世,,25.1,7,,,,502(0),,,,,,,ルックスザットキル,Jeranimo,
