着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,7,パープルフォッグ,牝2,54.0,西啓太,1:12.6,,1,1.7,36.6,大井 坂井英光,466(0)
2,8,9,シンプウキセキ,牡2,54.0,和田譲治,1:15.6,大,5,21.8,38.4,大井 須田和伸,498(0)
3,3,3,イノデジュエル,牝2,54.0,矢野貴之,1:16.1,2.1/2,2,4.5,40.1,大井 鷹見浩,440(0)
4,1,1,タリース,牝2,54.0,安藤洋一,1:16.5,2,3,5.1,39.7,大井 藤田輝信,434(0)
5,6,6,クルジェムゲーム,牝2,54.0,笹川翼,1:16.8,1.1/2,4,12.0,39.2,大井 宗形竹見,423(0)
6,5,5,カチャ,牝2,54.0,藤本現暉,1:17.6,4,8,45.0,39.4,大井 赤嶺亮,410(0)
7,2,2,タワーコンサート,牡2,54.0,吉井章,1:19.1,7,6,22.2,42.7,大井 的場直之,472(0)
8,8,10,ルックライクレイン,牝2,54.0,鷹見陸,1:19.2,クビ,7,25.1,42.5,大井 米田英世,502(0)
9,4,4,ダスマパーティ,牝2,54.0,田中洸多,1:19.4,3/4,10,114.5,43.2,大井 小野寺晋,450(0)
10,7,8,ヤマショウプリンス,牡2,54.0,菅原涼太,1:22.0,大,9,94.3,44.8,大井 堀千亜樹,399(0)
