馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ルビースターク,牡3,達城龍,大井・立花伸,差し,94.1,11,12,3歳九 十,43.1,478(-1),大井,22,中2週,,,0,タイセイレジェンド,ネオユニヴァース,
2,2,ガリマド,牝3,藤本現,大井・穂刈隆志,差し,218.3,14,10,3歳九 十,39.8,422(-4),大井,22,中2週,,,0,ノーブルミッション,サクラプレジデント,
3,3,エースインフェルノ,牝3,高橋優,大井・嶋田幸晴,逃げ,16.1,6,12,3歳七 八,42.1,448(+1),大井,20,中2週,,,0,フィレンツェファイア,ゼンノロブロイ,
4,3,アースフレンドリー,牝3,東原悠,大井・佐々木洋,差し,44.1,8,7,3歳七 八,38.4,440(+9),大井,20,中2週,,,0,モーニン,エスケンデレヤ,
5,4,ダルトン,牡3,菅原涼,大井・堀千亜樹,差し,64.5,10,9,3歳九 十,40.5,451(-5),大井,22,中2週,,,0,マテラスカイ,オルフェーヴル,
6,4,アメージングヨシノ,牝3,安藤洋,大井・月岡健二,差し,14.7,5,3,3歳11,38.9,422(+1),大井,22,中2週,,,0,Ulysses,Invincible Spirit,
7,5,ガンバリーリエ,牝3,中山遥,大井・福永敏,逃げ,16.9,7,3,3歳九 十,39.3,440(-9),大井,22,中2週,,,0,スマートファルコン,キャプテントゥーレ,
8,5,モノセロス,牡3,中村尚,大井・渡辺和雄,差し,62.1,9,8,3歳九 十,41.1,489(-2),大井,22,中2週,,,0,セイウンコウセイ,マツリダゴッホ,
9,6,プラヤデルカルメン,牝3,高橋昭,大井・立花伸,先行,4.5,2,17,3歳未勝利,38.0,444(+14),京都,52,中6週,Y,,3,ロードカナロア,ディープインパクト,
10,6,サコクノクインビー,牝3,木澤奨,大井・吉井竜一,差し,6.1,3,4,3歳七 八,38.6,465(+2),大井,20,中2週,,,0,フォーウィールドライブ,キンシャサノキセキ,
11,7,ナックアラジン,牡3,吉井章,大井・立花伸,差し,104.6,13,14,3歳九 十,40.2,486(-1),大井,22,中2週,,,0,サトノアラジン,Pioneerof the Nile,
12,7,リュウノナナホシ,牝3,本村直,大井・高岩孝敏,差し,102.4,12,11,3歳九 十,42.3,484(+4),大井,22,中2週,,,0,パドトロワ,タップダンスシチー,
13,8,ナナセショー,牡3,江里口,大井・市村誠,差し,14.5,4,11,3歳九 十,40.6,432(+9),大井,22,中2週,,,0,サンダースノー,ブラックタイド,
14,8,スマイルロコ,牝3,西啓太,大井・坂井英光,差し,1.9,1,2,3歳11,38.4,499(-4),大井,22,中2週,,,0,ダノンレジェンド,プリサイスエンド,
