着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,13,スマートシエラ,牝4,54.0,吉井章,1:42.8,,3,5.1,39.5,大井 松浦裕之,451(+14)
2,5,7,フィリピーヌ,牝6,54.0,矢野貴之,1:43.8,5,1,3.4,40.4,大井 福永敏,496(0)
3,4,6,テンポルバート,牝6,54.0,西啓太,1:43.8,ハナ,5,13.7,39.7,大井 荒井朋弘,488(-7)
4,7,12,アイアムイブシギン,牡5,53.0,▲西優哉,1:44.2,2,2,3.6,40.3,大井 澤佳宏,489(+2)
5,8,14,エルモッソペンドロ,牡4,56.0,東原悠善,1:44.2,クビ,12,68.4,39.8,大井 澤佳宏,420(-4)
6,5,8,ジャスミンカーラ,牝7,54.0,藤本現暉,1:44.4,1,9,26.0,40.8,大井 村上頼章,423(-7)
7,7,11,ゴッドモード,牡7,55.0,☆谷内貫太,1:44.6,1,10,28.5,41.3,大井 市村誠,485(+8)
8,2,2,パンオショコラ,牝5,54.0,中村尚平,1:44.6,クビ,4,6.4,41.0,大井 村上頼章,495(0)
9,3,4,マキズシトイナ,牡5,53.0,▲杉山海波,1:44.6,ハナ,6,19.9,40.9,大井 高橋清顕,482(-4)
10,3,3,ミンナノブンモ,セ7,56.0,達城龍次,1:44.7,クビ,7,21.7,40.1,大井 久保杉隆,470(-8)
11,6,9,スモモモモモモモモ,牝8,54.0,田中洸多,1:45.5,4,11,39.6,42.0,大井 佐宗応和,444(+5)
12,1,1,ラバテラジェーン,牝4,54.0,野畑凌,1:45.7,3/4,8,25.0,40.9,大井 市村誠,460(-6)
13,6,10,オルチャタ,牝4,54.0,石川駿介,1:45.7,クビ,14,220.3,40.6,大井 朝倉実,412(-2)
14,4,5,プレミアリッチ,牝4,51.0,▲小野俊斗,1:46.7,5,13,133.5,42.5,大井 庄子昭彦,447(-2)
