着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,11,トップレジェンド,牡4,56.0,西啓太,1:12.7,,1,2.0,36.9,大井 橋本和馬,445(+1)
2,2,2,リコーモーラー,牝4,54.0,町田直希,1:13.6,4,5,12.5,38.1,大井 蛯名雄太,517(+1)
3,4,4,ダイヤメ,牡5,56.0,吉井章,1:13.7,1/2,3,6.3,37.6,大井 吉井竜一,494(+3)
4,5,6,フォーティースター,牝4,54.0,矢野貴之,1:13.8,3/4,2,3.3,37.7,大井 月岡健二,479(+1)
5,5,7,アルデフォックス,セ4,53.0,▲高橋優,1:14.5,3.1/2,7,63.5,37.9,大井 村上頼章,541(+2)
6,8,13,フレーズボンボン,牝4,54.0,田中洸多,1:14.7,1.1/4,6,32.2,37.6,大井 小野寺晋,439(+4)
7,6,9,ロイヤルカラット,牡4,56.0,達城龍次,1:14.7,ハナ,8,92.6,38.0,大井 納谷和玖,528(+1)
8,8,12,キタノマティーニ,牝5,54.0,澤田龍哉,1:14.9,3/4,4,6.6,38.8,大井 田中正人,501(-6)
9,1,1,オオサキサンダー,牡4,56.0,岡村健司,1:15.0,1/2,12,228.5,37.9,大井 遠藤茂,424(+1)
10,3,3,パールペンダント,牝4,54.0,遠藤健太,1:15.2,1.1/4,11,202.2,38.3,大井 遠藤茂,460(-2)
11,6,8,ラッケンブース,牝4,51.0,▲西優哉,1:15.6,2,9,143.2,38.7,大井 小野寺晋,505(+6)
12,7,10,ケイコウギュウゴ,牡4,56.0,野畑凌,1:15.8,3/4,10,151.2,39.6,大井 栗田裕光,456(+1)
取消,4,5,ベルボールドナイン,牡6,56.0,鷹見陸,,,,,,大井 須田和伸,
