馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ナンセイスコピオン,牝6,笹川翼,大井・米田英世,先行,1.2,1,1,はくちょ(C2),38.2,463(+3),大井,21,中2週,,,0,デクラレーションオブウォー,ダイワメジャー,
2,2,ハボタン,牝3,千田洋,大井・大宮和也,追込,98.8,11,5,3歳一 (3歳二),39.2,430(+7),大井,124,中17週,,,0,ミスチヴィアスアレックス,エンパイアメーカー,
3,3,ビップクララ,牝4,野畑凌,大井・荒井朋弘,差し,98.4,10,,,,447(-17),大井,104,中14週,,,0,マクフィ,ダイワメジャー,
4,4,ドレインザスワンプ,牝3,西優哉,大井・村上頼章,差し,9.0,2,6,C1五 六,39.7,467(+4),大井,19,中2週,,,0,イスラボニータ,ディープブリランテ,
5,4,ナックジャスパー,牝6,高橋昭,大井・立花伸,差し,62.6,9,8,C2六 (C2七),41.7,488(-3),大井,19,中2週,,,0,モンテロッソ,サクラローレル,
6,5,マオノジーニー,牝4,西啓太,大井・橋本和馬,追込,34.9,6,5,へび座特(C1),39.2,480(0),大井,86,中11週,,,0,サトノアラジン,ハービンジャー,
7,5,バイアホーン,牝4,藤本現,大井・月岡健二,先行,50.6,7,10,C1七 八,40.2,425(-3),大井,21,中2週,,,0,キンシャサノキセキ,ハーツクライ,
8,6,スタールビーピアス,牝3,和田譲,大井・月岡健二,差し,9.3,3,4,フォーチ(C13歳),38.2,397(+4),大井,42,中5週,,,0,カリフォルニアクローム,キズナ,
9,6,クインズアトリア,牝5,本田正,大井・佐宗応和,差し,56.6,8,12,C1五 六,38.9,499(-3),大井,19,中2週,,,0,マクフィ,キングカメハメハ,
10,7,ニジノカナタニ,牝4,江里口,大井・上杉昌宏,先行,16.2,5,6,チチ賞(C1),40.9,467(0),大井,19,中2週,,,0,シニスターミニスター,ディープインパクト,
11,7,サンピアノソナタ,牝5,藤田凌,大井・澤佳宏,差し,13.9,4,9,C1二 (C1三),39.6,470(-5),大井,17,中1週,,,0,ニューイヤーズデイ,ダンスインザダーク,
12,8,サントグラール,牝5,本橋孝,大井・蛯名雄太,追込,218.8,13,9,C2六 (C2七),40.0,459(-4),大井,19,中2週,,,0,グランデッツァ,マンハッタンカフェ,
13,8,ニンリル,牝4,谷内貫,大井・嶋田幸晴,差し,164.8,12,7,C1五 六,38.6,478(+2),大井,19,中2週,,,0,ルヴァンスレーヴ,ハードスパン,
