馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ニシノデフィレ,セ7,瀬川将,大井・市村誠,差し,67.8,10,3,シューテ(B2B3),35.8,497(+2),大井,16,中1週,,,0,ロードカナロア,スペシャルウィーク,
2,2,フレンドローマ,牡4,鷹見陸,大井・上杉昌宏,差し,32.3,8,7,サマート(B2B3),38.1,463(-4),大井,20,中2週,,,0,バゴ,アグネスデジタル,
3,3,アジアジェニファー,牝5,野畑凌,大井・阪本一栄,差し,28.6,7,6,サマーナ(B2),39.3,488(0),大井,19,中2週,,,0,アジアエクスプレス,ハービンジャー,
4,4,ロンギングナイス,牡6,吉井章,大井・的場直之,先行,7.3,5,,,0.0,492(+5),大井,43,中5週,,,0,バンブーエール,シンボリクリスエス,
5,5,スミソニアン,牡8,小野俊,大井・宗形竹見,追込,311.2,12,7,サマーナ(B2),38.5,464(-1),大井,19,中2週,,,0,ホッコータルマエ,アドマイヤムーン,
6,5,ケイアイカペラ,牡5,笹川翼,大井・米田英世,差し,6.0,3,9,サマート(B2B3),36.8,526(-4),大井,20,中2週,,,0,ビッグアーサー,サウスヴィグラス,
7,6,ジューンドラゴン,牡4,達城龍,大井・鈴木啓之,先行,3.0,1,2,デネブ賞(B2),37.3,452(-4),大井,43,中5週,,,0,トランセンド,ネオユニヴァース,
8,6,アポロリヤム,セ7,張田昂,大井・市村誠,差し,12.5,6,10,サマート(B2B3),37.2,466(+3),大井,20,中2週,,,0,キンシャサノキセキ,Saint Liam,
9,7,ルールメイプル,牝6,佐野遥,浦和・水上直人,差し,57.9,9,7,涼風特別(B2B3),35.7,477(+1),浦和,23,中2週,,,0,エスポワールシチー,Awesome Again,
10,7,ロアリングルックス,牡6,櫻井光,大井・堀江仁,先行,,,8,シューテ(B2B3),37.9,478(-4),大井,16,中1週,,,0,ルックスザットキル,ロードバリオス,
11,8,ヘルメース,牡5,矢野貴,大井・宗形竹見,逃げ,3.5,2,2,サマーバ(B3),38.2,493(-3),大井,18,中2週,,,0,ファインニードル,キンシャサノキセキ,
12,8,ルソレイユ,牡6,藤田凌,大井・蛯名雄太,先行,6.4,4,6,シューテ(B2B3),35.9,541(-13),大井,16,中1週,,,2,ビッグアーサー,ファルブラヴ,
