馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,オーヴァーネクサス,牡6,北村友,栗東・松下,差し,12.6,3,4,,35.7,512(-4),中山,27,中3週,Y,,3,キズナ,Seeking the Gold,
2,2,ドウドウキリシマ B,牡7,和田竜,美浦・天間,差し,205.3,12,15,,38.4,506(-10),中京,20,中2週,Y,,3,ケープブランコ,ゴールドアリュール,
3,3,シャイニーブランコ,牡7,酒井,栗東・小林,差し,216.1,13,8,,35.8,460(-2),阪神,13,中1週,Y,,3,クロフネ,サンデーサイレンス,
4,3,クリノフラッシュ B,牝8,岩田望,栗東・橋田,先行,181.3,11,8,,36.9,450(-2),中京,20,中2週,Y,,3,エイシンフラッシュ,サンデーサイレンス,
5,4,セキフウ B,牡4,藤岡康,栗東・武幸,先行,19.1,6,12,,36.4,484(+8),東京,56,中7週,Y,,1,ヘニーヒューズ,Kingmambo,
6,4,コパノマーキュリー B,牡6,松若,栗東・村山,差し,307.2,14,10,,36.5,512(0),阪神,13,中1週,Y,,3,サウスヴィグラス,マンハッタンカフェ,
7,5,メイショウテンスイ,牡6,太宰,栗東・南井,,37.5,7,4,,36.5,544(+22),東京,48,中6週,Y,,3,ダンカーク,ゼンノロブロイ,
8,5,イバル,牡6,小崎,栗東・小崎,差し,83.7,9,7,,36.0,520(+14),東京,48,中6週,Y,,2,パイロ,マンハッタンカフェ,
9,6,シゲルタイタン B,牡6,松山,美浦・伊藤圭,,17.3,5,12,,38.7,498(+4),阪神,77,中10週,Y,,3,マジェスティックウォリアー,メジロベイリー,
10,6,バトルクライ,牡4,川田,美浦・高木,先行,2.8,2,2,,36.0,496(+4),阪神,34,中4週,Y,,3,イスラボニータ,キングカメハメハ,
11,7,レディオマジック,牡6,藤岡佑,栗東・佐々木,差し,171.6,10,10,,36.0,498(-6),中山,27,中3週,Y,,3,フェノーメノ,アドマイヤムーン,
12,7,ドライスタウト,牡4,戸崎圭,栗東・牧浦,先行,1.8,1,1,,35.8,538(+4),東京,48,中6週,Y,,1,シニスターミニスター,アフリート,
13,8,ケイアイターコイズ,牡7,鮫島駿,栗東・新谷,先行,14.7,4,2,,36.3,530(+4),東京,48,中6週,Y,,2,キンシャサノキセキ,クロフネ,
14,8,サンライズラポール B,牡6,西村淳,栗東・平田,差し,41.8,8,9,,36.2,516(+2),阪神,34,中4週,Y,,3,Constitution,Curlin,
