着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ニジュウダンサー,牝3,54.0,横山武,1:08.8,,6,8.5,34.3,美浦尾関,464(+4)
2,8,12,スプレモフレイバー,牡3,56.0,田辺,1:09.0,1,1,3.4,34.0,美浦久保田,474(0)
3,3,3,クリノゴッホ,牡3,56.0,丹内,1:09.1,1/2,2,3.8,34.3,美浦岩戸,462(0)
4,4,4,エコロレジーナ,牝3,54.0,菊沢,1:09.1,アタマ,7,23.3,34.9,美浦菊沢,478(+2)
5,5,6,スムースベルベット,牝3,54.0,嶋田,1:09.6,3.1/2,4,7.7,35.2,美浦手塚,486(-2)
6,7,10,レイフォール,牡3,56.0,武藤,1:09.8,1.1/4,10,46.2,35.5,美浦武藤,468(-4)
7,6,8,ロッソランパンテ,牝3,54.0,勝浦,1:09.8,クビ,12,116.7,35.0,美浦杉浦,470(+10)
8,8,11,クールムーア,牡3,56.0,Mデム,1:09.9,クビ,3,5.3,34.9,美浦矢野,466(+4)
9,2,2,モンサンスヴニール,牝3,54.0,木幡巧,1:10.1,1.1/4,9,40.8,35.5,美浦牧,468(+4)
10,7,9,ソフィアエール,牝3,54.0,横山和,1:10.1,クビ,5,8.2,35.2,美浦小野,422(0)
11,5,5,デイドリームビーチ,牡3,56.0,杉原,1:10.1,ハナ,11,82.5,34.9,美浦石毛,444(0)
12,6,7,サイモンオリーブ,牝3,54.0,戸崎圭,1:10.6,3,8,29.1,36.0,美浦勢司,458(-4)
