着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,7,トラベログ,牝3,54.0,北村宏,1:36.0,,6,13.6,35.4,美浦岩戸,464(-8)
2,8,13,ニシノコウフク,牝3,54.0,大野,1:36.2,1.1/4,10,41.4,35.4,美浦伊藤大,470(+4)
3,1,1,ステラバルセロナ,牝3,54.0,木幡巧,1:36.2,ハナ,7,18.4,35.1,美浦菊川,416(-2)
4,5,6,アリスヴェリテ,牝3,54.0,石橋脩,1:36.4,1.1/4,1,2.9,35.5,栗東中竹,442(-10)
5,4,5,メインクーン,牝3,54.0,Mデム,1:36.4,ハナ,2,3.6,35.4,美浦林,428(0)
6,2,2,ルージュクレセント,牝3,54.0,石川,1:36.4,ハナ,3,5.8,34.5,美浦国枝,446(0)
7,3,3,キガン,牝3,54.0,田辺,1:36.5,1/2,5,11.3,34.9,美浦小島,470(+2)
8,8,12,エミュー,牝3,54.0,菅原明,1:36.5,クビ,4,8.5,35.4,美浦和田郎,416(+4)
9,7,10,トラネスハープ,牝3,54.0,永野,1:36.9,2.1/2,11,62.5,36.2,美浦武井,426(+6)
10,7,11,セイウンスイート,牝3,54.0,三浦,1:37.1,1.1/4,12,109.5,35.7,美浦栗田,438(+4)
11,4,4,コスモフーレイ,牝3,54.0,横山武,1:37.1,アタマ,8,19.0,35.4,栗東五十嵐,416(0)
12,6,8,コウセイマリア,牝3,54.0,柴田大,1:37.1,アタマ,9,34.1,35.7,美浦和田雄,400(-4)
13,6,9,カレイジャス,牝3,54.0,杉原,1:38.1,6,13,303.5,36.0,美浦村田,430(-3)
