馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,リューベック,牡4,吉田隼,栗東・須貝,逃げ,5.5,3,3,,34.6,506(+20),中山,280,中39週,Y,Y,3,ハービンジャー,スペシャルウィーク,
2,1,ウインピクシス,牝4,松岡,美浦・上原博,先行,8.8,5,1,,35.3,448(+2),福島,55,中7週,Y,,3,ゴールドシップ,ロージズインメイ,
3,2,イリマ,牝5,藤岡康,栗東・高橋亮,差し,27.2,10,1,,34.1,466(+16),福島,196,中27週,Y,Y,3,キズナ,ウォーエンブレム,
4,2,シャンブル,牝5,川又,栗東・吉村,先行,56.1,14,10,,34.4,490(-2),東京,56,中7週,Y,,3,ハーツクライ,Giant's Causeway,
5,3,アナゴサン,牡5,岩田康,栗東・牧田,先行,5.1,2,2,,35.3,468(-10),阪神,20,中2週,Y,,3,ミッキーアイル,キングカメハメハ,
6,3,ストロングウィル,牡4,西村淳,栗東・橋口,先行,4.8,1,1,3歳以上2勝クラス,33.9,486(0),阪神,42,中5週,Y,,3,シルバーステート,ゴールドヘイロー,
7,4,ルース B,牝5,,栗東・池添兼,,35.1,13,10,,34.8,494(0),阪神,41,中5週,Y,,3,ドゥラメンテ,グラスワンダー,
8,4,エターナルヴィテス,牡7,田中勝,美浦・松山,追込,159.9,16,11,,36.0,480(-4),中山,105,中14週,Y,,3,トゥザグローリー,アドマイヤムーン,
9,5,ストゥーティ,牝5,北村友,栗東・奥村豊,,21.1,9,7,,37.0,438(-2),中山,118,中16週,Y,,3,モーリス,ゼンノロブロイ,
10,5,タガノパッション,牝5,浜中,栗東・武幸,差し,8.2,4,3,,32.9,478(-2),東京,62,中8週,Y,,3,キングカメハメハ,シンボリクリスエス,
11,6,シャイニングフジ,牝5,富田,栗東・笹田,差し,15.4,7,6,,34.5,490(-12),阪神,48,中6週,Y,,3,ドゥラメンテ,キングヘイロー,
12,6,レヴェッツァ,セ5,団野,栗東・斉藤崇,差し,35.0,12,10,,35.9,476(-16),阪神,293,中41週,Y,Y,3,ドゥラメンテ,City Banker,
13,7,アウスヴァール,セ5,古川吉,栗東・昆,,17.3,8,3,,35.5,490(-6),阪神,20,中2週,Y,,3,ノヴェリスト,スペシャルウィーク,
14,7,ウィンドリッパー,牡5,ムルザ,栗東・清水久,差し,30.2,11,15,,37.5,486(+4),東京,48,中6週,Y,,3,ルーラーシップ,ファルブラヴ,
15,8,ワールドスケール,牡6,藤岡佑,栗東・野中,差し,104.5,15,10,,34.5,482(+22),小倉,153,中21週,Y,,3,ワールドエース,アグネスデジタル,
16,8,ブルーロワイヤル B,セ4,角田和,栗東・音無,先行,9.3,6,1,,35.1,520(-6),阪神,17,中1週,Y,,3,キングカメハメハ,ファルブラヴ,
