着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ダルエスサラーム,牝3,54.0,イーガ,1:21.8,,4,6.6,35.1,栗東高野,438(0)
2,8,9,バースクライ,牝3,54.0,福永,1:21.9,1/2,2,3.1,34.6,栗東千田,474(-4)
3,1,1,アルーリングビュー,牝3,54.0,Mデム,1:21.9,アタマ,3,6.3,35.1,栗東吉村,470(0)
4,7,8,パルクリチュード,牝3,54.0,鮫島駿,1:22.0,1,7,25.2,35.0,栗東松永幹,424(-4)
5,7,7,クインズエルサ,牝3,54.0,岩田望,1:22.2,1.1/4,5,11.0,35.3,栗東西村,420(-2)
6,3,3,ベガリス,牝3,54.0,小沢,1:22.4,1.1/4,10,59.9,35.4,栗東高橋忠,418(-4)
7,6,6,サンティーテソーロ,牝3,54.0,横山和,1:22.6,1.1/4,1,2.5,36.3,美浦栗田,424(-2)
8,5,5,プウスカンドゥール,牝3,54.0,吉田隼,1:22.8,3/4,9,47.8,35.1,栗東坂口,446(+2)
9,2,2,イリゼ,牝3,54.0,武豊,1:23.4,3.1/2,6,23.3,35.9,栗東武幸,390(-10)
10,8,10,カワキタマックス,牝3,54.0,松山,1:24.1,4,8,45.6,37.7,栗東鈴木孝,434(+4)
