着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,7,メイショウフンジン,牡5,57.0,酒井,1:59.7,,4,6.4,37.6,栗東西園正,518(0)
2,1,2,ホウオウルバン,牡5,57.0,吉田隼,1:59.8,クビ,10,48.0,37.4,美浦池上,524(+2)
3,2,4,バイシュラバナ,セ6,57.0,Mデム,1:59.9,1,1,2.8,37.3,美浦久保田,474(+6)
4,8,16,ペプチドナイル,牡5,57.0,岩田望,2:00.0,クビ,3,5.8,37.4,栗東武英,530(+2)
5,3,6,ロードリバーサル,牡7,57.0,角田河,2:00.0,クビ,16,185.6,37.1,栗東藤岡,502(-4)
6,6,11,フィニステール,牡6,57.0,川田,2:00.1,1/2,2,4.8,36.2,栗東中内田,484(+8)
7,6,12,ダノンスプレンダー,牡7,59.0,団野,2:00.3,1.1/4,9,36.1,37.5,栗東安田隆,512(+2)
8,1,1,マテンロウスパーク,牡6,57.0,横山典,2:00.9,3.1/2,11,53.9,37.8,栗東昆,520(+6)
9,8,15,フラーレン,牝6,55.0,坂井,2:01.0,1/2,5,7.0,38.7,栗東牧田,520(+1)
10,5,9,トランスナショナル,セ7,57.0,斎藤,2:01.0,アタマ,12,62.8,38.6,美浦田村,480(-4)
11,5,10,ペルセウスシチー,牡6,57.0,津村,2:01.0,ハナ,8,32.1,38.0,美浦池上,490(+2)
12,3,5,キスラー,牡7,57.0,鮫島駿,2:01.2,1.1/4,6,19.6,36.6,栗東池江,486(+6)
13,7,13,ユアヒストリー,牡5,57.0,古川吉,2:01.3,3/4,15,158.6,38.0,栗東池添学,470(+4)
14,2,3,ヒロイックテイル,セ6,58.0,松田,2:01.6,1.1/2,13,85.9,39.5,栗東本田,496(+6)
15,7,14,ゴッドセレクション,牡5,58.0,岩田康,2:01.7,3/4,7,29.6,38.4,栗東今野,530(+12)
16,4,8,アイスジャイアント,セ4,56.0,荻野極,2:02.3,3.1/2,14,143.7,39.6,美浦高柳瑞,506(+4)
