馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,タガノパッション,牝5,川田,栗東・武幸,差し,5.8,3,3,,35.3,474(-4),小倉,29,中3週,Y,,3,キングカメハメハ,シンボリクリスエス,
2,1,ウインエクレール,牝4,三浦,美浦・畠山,先行,11.3,5,7,,34.9,474(-8),中山,35,中4週,Y,,3,ディープインパクト,アドマイヤコジーン,
3,2,アインゲーブング,牝5,柴田大,美浦・黒岩,先行,93.8,11,8,,35.6,448(-2),中山,34,中4週,Y,,3,ゴールドシップ,Rock Hard Ten,
5,3,アルーリングウェイ,牝4,石橋脩,栗東・藤岡,先行,18.5,6,9,,35.8,470(-2),阪神,77,中10週,Y,,3,ジャスタウェイ,フレンチデピュティ,
6,3,ノワールドゥジェ,牝5,戸崎圭,美浦・宮田,先行,10.6,4,7,,34.0,494(+2),東京,91,中12週,Y,,3,ハーツクライ,シングスピール,
7,4,オハナ,牝8,石川,美浦・堀,差し,291.4,15,13,,35.1,440(-4),東京,85,中11週,Y,,3,ディープインパクト,キングカメハメハ,
8,4,ミスフィガロ,牝5,福永,栗東・友道,差し,19.9,7,5,,35.1,426(+4),東京,112,中15週,Y,,3,ディープインパクト,キングカメハメハ,
9,5,ローゼライト B,牝5,北村宏,栗東・清水久,,57.2,10,9,,34.5,440(-4),阪神,70,中9週,Y,,3,キズナ,アフリート,
10,5,コスタボニータ,牝4,松山,栗東・杉山佳,先行,31.3,8,14,,33.9,456(0),東京,85,中11週,Y,,3,イスラボニータ,Kendor,
11,6,モリノカンナチャン,牝5,永野,美浦・大江原,追込,193.6,13,14,,38.3,456(+4),中山,50,中6週,Y,,3,ハービンジャー,サンデーサイレンス,
12,6,サンタグラシア,牝5,大野,美浦・鹿戸,追込,249.1,14,14,,34.0,418(-6),中山,63,中8週,Y,,3,オルフェーヴル,Smart Strike,
13,7,リアグラシア,牝4,ルメー,美浦・木村,先行,2.3,1,1,3歳以上2勝クラス,33.8,498(-2),東京,78,中10週,Y,,3,キングカメハメハ,Rockport Harbor,
14,7,ブルームスベリー B,牝6,吉田隼,美浦・嘉藤,差し,154.6,12,1,3歳以上2勝クラス,35.7,468(+4),中山,64,中8週,Y,,3,ハービンジャー,ダイワメジャー,
15,8,ストーリア,牝4,バシュ,栗東・杉山晴,先行,3.8,2,2,,33.3,488(-2),阪神,70,中9週,Y,,3,リオンディーズ,ジャングルポケット,
16,8,ホウオウラスカーズ,牝5,菅原明,美浦・高木,追込,50.2,9,10,,34.1,452(+2),東京,77,中10週,Y,,3,ディープインパクト,Shamardal,
