着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,12,ガラパゴス,牡4,57.0,藤岡康,1:45.3,,1,2.0,37.0,栗東野中,488(-6)
2,6,7,サムハンター,牡5,58.0,丸山,1:45.4,1,7,18.5,37.0,栗東高橋康,498(-8)
3,3,3,サクラソーレ,牡4,57.0,佐々木,1:45.6,1.1/4,6,13.9,37.1,美浦堀,470(0)
4,8,11,ララモンドール,牡5,58.0,黛,1:46.4,5,8,25.8,37.8,美浦和田雄,434(-8)
5,4,4,トーホウテンリュウ,牡4,57.0,菱田,1:46.8,2.1/2,5,8.8,37.5,栗東谷,476(-6)
6,1,1,ダノンアーリー,牡4,57.0,斎藤,1:47.0,1.1/2,3,7.8,38.3,栗東安田隆,468(0)
7,7,10,ワールドハート,牡4,57.0,幸,1:47.2,1.1/4,4,8.2,38.2,栗東杉山佳,444(-8)
8,7,9,チャールストン,セ4,57.0,原田和,1:47.4,1.1/4,11,64.7,38.1,美浦小桧山,482(-2)
9,2,2,メイショウシヅキ,牡4,57.0,小沢,1:47.4,アタマ,9,37.8,38.4,栗東池添兼,470(0)
10,6,8,シャランガーナ,牡4,57.0,角田和,1:47.8,2,10,43.1,39.1,栗東清水久,496(+22)
11,5,6,サノラキ,牡4,57.0,丹内,1:47.9,1/2,12,79.5,38.3,美浦中舘,492(+6)
12,5,5,グレートキャンベラ,牡4,57.0,松若,1:49.2,8,2,6.2,40.2,栗東矢作,514(+5)
