馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ボーンディスウェイ,牡4,石橋脩,美浦・牧,差し,1.9,1,3,4歳以上2勝クラス,32.7,494(0),東京,27,中3週,Y,,3,ハーツクライ,プラティニ,
2,2,サイモンルモンド,セ6,永野,美浦・小桧山,追込,290.6,10,11,4歳以上2勝クラス,35.8,462(0),東京,14,中1週,Y,,3,ダノンシャンティ,サクラローレル,
3,3,ヒットザシーン,牝5,柴田大,美浦・畠山,先行,8.2,4,4,4歳以上2勝クラス,34.2,484(-2),東京,20,中2週,Y,,3,スクリーンヒーロー,アグネスデジタル,
4,4,グランドライン,牡4,三浦,美浦・高木,差し,3.5,2,2,,35.5,542(+2),中山,35,中4週,Y,,3,ドゥラメンテ,Dylan Thomas,
5,5,デコラシオン B,牡4,戸崎圭,美浦・高木,差し,5.0,3,1,3歳以上1勝クラス,36.2,516(+6),中山,59,中7週,Y,,3,ロードカナロア,Acatenango,
6,6,シャーマンズケイブ,牡4,内田博,美浦・尾関,差し,52.0,7,11,4歳以上2勝クラス,38.2,534(-2),東京,21,中2週,Y,,3,ハーツクライ,American Post,
7,7,ヤマニンプレシオサ,牝6,木幡巧,美浦・辻,差し,133.9,9,7,,34.5,482(0),中京,34,中4週,Y,,3,ヴァンセンヌ,ホワイトマズル,
8,7,ヤマニンガラッシア,牡6,菅原明,美浦・辻,差し,25.6,6,7,,35.8,452(-4),中山,35,中4週,Y,,3,ディープインパクト,タイキシャトル,
9,8,マイネルダグラス,牡5,バシュ,美浦・相沢,,17.3,5,6,,35.5,516(-4),小倉,21,中2週,Y,,3,スクリーンヒーロー,アドマイヤコジーン,
10,8,フィデリオグリーン,牡7,,美浦・根本,差し,113.9,8,13,,37.8,500(+4),中山,62,中8週,Y,,3,ザサンデーフサイチ,タニノギムレット,
