着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,11,ヒシイグアス,牡7,57.0,松山,1:47.1,,4,9.2,34.6,美浦堀,504(+14)
2,8,13,ラーグルフ,牡4,56.0,菅原明,1:47.2,3/4,8,19.9,34.7,美浦宗像,504(+4)
3,3,4,ドーブネ,牡4,56.0,武豊,1:47.3,クビ,7,17.2,35.6,栗東武幸,474(-4)
4,4,5,シュネルマイスター,牡5,58.0,バシュ,1:47.3,ハナ,5,9.2,34.9,美浦手塚,504(+14)
5,7,12,スタニングローズ,牝4,55.0,吉田隼,1:47.3,クビ,3,7.8,35.4,栗東高野,494(+6)
6,8,14,リューベック,牡4,56.0,田辺,1:47.3,ハナ,9,58.0,35.1,栗東須貝,494(-8)
7,6,9,ショウナンマグマ,牡4,56.0,石橋脩,1:47.4,クビ,10,63.5,35.6,美浦尾関,516(-8)
8,3,3,イルーシヴパンサー,牡5,57.0,Mデム,1:47.6,1,6,9.5,35.4,美浦久保田,484(-4)
9,4,6,ソーヴァリアント,牡5,57.0,横山武,1:47.9,1.3/4,1,2.3,35.8,美浦大竹,518(+12)
10,6,10,モズベッロ,牡7,57.0,大野,1:48.1,1.1/2,11,335.0,35.3,栗東森田,488(0)
11,1,1,ダノンザキッド,牡5,57.0,北村友,1:48.2,1/2,2,4.4,36.1,栗東安田隆,524(+3)
12,5,7,ナイママ,牡7,57.0,柴田大,1:48.4,3/4,14,521.3,35.7,美浦武藤,480(-4)
13,2,2,ソロフレーズ,牡8,57.0,武士沢,1:49.1,4,13,465.8,36.3,美浦佐藤,474(-13)
14,5,8,トーラスジェミニ,牡7,57.0,原,1:49.2,1/2,12,337.4,36.8,美浦小桧山,472(+10)
