馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,レベランス B,牡5,岩田望,栗東・須貝,先行,5.7,3,1,,34.4,468(-4),中京,29,中3週,Y,,3,ハービンジャー,ディープインパクト,
2,2,メイショウブレゲ,牡4,今村,栗東・本田,差し,4.2,2,1,,34.7,468(+4),小倉,35,中4週,Y,,3,ゴールドシップ,パイロ,
3,3,アスティ,セ7,浜中,美浦・堀内,差し,15.6,6,6,,36.3,428(-2),中京,52,中6週,Y,,3,オルフェーヴル,ジャングルポケット,
4,4,セブンデイズ,牡5,和田竜,美浦・田中博,差し,48.6,10,10,,35.8,488(-10),中山,36,中4週,Y,,3,ラブリーデイ,Broken Vow,
5,4,ビジン,牝4,池添,栗東・武英,,17.1,7,7,,35.0,464(0),中京,43,中5週,Y,,3,キズナ,Giant's Causeway,
6,5,シロニイ B,牡9,,栗東・池江,先行,11.1,5,3,,36.4,520(+8),中京,52,中6週,Y,,3,キングカメハメハ,サンデーサイレンス,
7,5,ホウオウエクレール,牡6,戸崎圭,栗東・宮,先行,19.5,8,11,,38.6,512(+12),阪神,119,中16週,Y,,3,ブラックタイド,パラダイスクリーク,
8,6,タイムオブフライト,牡4,岩田康,栗東・辻野,差し,2.8,1,1,,34.5,442(+8),阪神,92,中12週,Y,,3,ディープインパクト,ブライアンズタイム,
9,6,ナムラカミカゼ,牡6,酒井,栗東・村山,差し,6.9,4,5,,36.1,496(0),中京,52,中6週,Y,,3,キズナ,エンドスウィープ,
10,7,タイセイシリウス,セ6,角田河,栗東・高野,先行,57.1,11,7,,36.5,494(-2),中京,52,中6週,Y,,3,エピファネイア,キングカメハメハ,
11,7,アイブランコ,牡6,松田,美浦・中野,差し,127.3,13,7,,34.2,512(-6),東京,22,中2週,Y,,3,ケープブランコ,シンボリクリスエス,
12,8,ゼーゲン,牡8,鮫島駿,美浦・堀,差し,64.8,12,8,,34.0,426(-2),阪神,99,中13週,Y,,3,ディープインパクト,Monsun,
13,8,エドノフェリーチェ B,牝6,団野,美浦・相沢,追込,32.8,9,11,,35.1,460(-4),東京,22,中2週,Y,,3,ゴールドシップ,ブライアンズタイム,
