着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,モズメイメイ,牝3,54.0,武豊,1:34.0,,7,16.2,34.1,栗東音無,456(0)
2,7,13,コナコースト,牝3,54.0,鮫島駿,1:34.0,ハナ,6,14.8,33.7,栗東清水久,458(-4)
3,8,17,ペリファーニア,牝3,54.0,横山武,1:34.0,クビ,2,5.4,33.9,美浦鹿戸,496(0)
4,2,3,ルミノメテオール,牝3,54.0,Mデム,1:34.1,3/4,3,7.0,34.0,美浦金成,446(+4)
5,7,14,ルカン,牝3,54.0,横山典,1:34.1,ハナ,14,99.1,34.1,栗東安田翔,414(-2)
6,3,5,ダルエスサラーム,牝3,54.0,幸,1:34.3,3/4,8,19.9,34.0,栗東高野,438(0)
7,1,2,キタウイング,牝3,54.0,杉原,1:34.3,クビ,5,11.4,33.5,美浦小島,432(0)
8,5,10,アリスヴェリテ,牝3,54.0,坂井,1:34.3,アタマ,10,24.6,34.1,栗東中竹,442(0)
9,4,7,マラキナイア,牝3,54.0,松山,1:34.3,ハナ,12,72.8,33.3,栗東吉岡,432(+4)
10,8,16,サーマルソアリング,牝3,54.0,岩田望,1:34.4,1/2,15,99.3,33.5,栗東藤原,468(0)
11,6,12,カフジキアッキエレ,牝3,54.0,国分恭,1:34.6,1.1/4,11,67.8,33.8,栗東森田,388(-6)
12,1,1,アンリーロード,牝3,54.0,池添,1:34.8,1,9,22.3,34.3,栗東茶木,462(-2)
13,6,11,バースクライ,牝3,54.0,浜中,1:34.9,3/4,4,8.9,33.7,栗東千田,466(-8)
14,2,4,エクローサ,牝3,54.0,藤岡康,1:35.0,1/2,16,244.1,34.4,栗東坂口,440(-4)
15,4,8,ドゥーラ,牝3,54.0,戸崎圭,1:35.0,クビ,1,2.5,34.2,栗東高橋康,476(+6)
16,3,6,レミージュ,牝3,54.0,荻野極,1:35.2,1,13,76.0,34.1,栗東松永幹,428(-8)
17,8,15,ワレハウミノコ,牝3,54.0,富田,1:36.2,6,17,250.4,35.7,栗東武英,436(-10)
