馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ソロフレーズ,牡8,武士沢,美浦・佐藤,先行,347.7,16,11,,34.5,476(+4),中山,20,中2週,Y,,2,ディープスカイ,Pivotal,
2,1,ルプリュフォール,セ7,石橋脩,栗東・松永幹,追込,25.1,8,6,,32.5,496(-6),阪神,34,中4週,Y,,3,ロードカナロア,サンデーサイレンス,
3,2,レッドモンレーヴ,牡4,川田,美浦・蛯名正,差し,2.8,1,1,,33.1,510(0),東京,62,中8週,Y,,3,ロードカナロア,ディープインパクト,
4,2,ジャスティンカフェ,牡5,ルメー,栗東・安田翔,差し,3.6,2,4,,33.3,500(-2),東京,55,中7週,Y,,3,エピファネイア,ワークフォース,
5,3,スカーフェイス,牡7,横山和,栗東・中竹,差し,51.8,13,1,,33.9,458(-6),阪神,27,中3週,Y,,3,ハーツクライ,クロフネ,
6,3,ミスニューヨーク,牝6,Ｍデム,栗東・杉山晴,差し,8.2,4,9,,33.3,472(-6),阪神,42,中5週,Y,,3,キングズベスト,マンハッタンカフェ,
7,4,アナザーリリック,牝5,津村,美浦・林,差し,28.0,9,7,,34.5,498(+4),中山,105,中14週,Y,,2,リオンディーズ,サクラバクシンオー,
8,4,インダストリア,牡4,戸崎圭,美浦・宮田,差し,8.1,3,7,,33.9,498(-8),東京,55,中7週,Y,,3,リオンディーズ,ハーツクライ,
9,5,マテンロウオリオン,牡4,横山典,栗東・昆,差し,21.8,7,6,,34.2,490(+6),東京,55,中7週,Y,,3,ダイワメジャー,キングカメハメハ,
10,5,トーラスジェミニ,牡7,佐藤,美浦・小桧山,先行,328.7,15,14,,36.8,468(-4),中山,34,中4週,Y,,3,キングズベスト,マンハッタンカフェ,
11,6,ウイングレイテスト,牡6,松岡,美浦・畠山,先行,21.3,6,8,,36.7,512(+6),小倉,41,中5週,Y,,3,スクリーンヒーロー,サクラユタカオー,
12,6,ミッキーブリランテ,牡7,坂井,栗東・矢作,差し,92.2,14,16,,39.6,470(-8),阪神,21,中2週,Y,,3,ディープブリランテ,Dansili,
13,7,タイムトゥヘヴン,牡5,大野,美浦・戸田,差し,40.3,11,11,,33.1,492(-2),中山,28,中3週,Y,,3,ロードカナロア,アドマイヤベガ,
14,7,ベレヌス,牡6,西村淳,栗東・杉山晴,,48.0,12,16,,37.1,524(-6),中京,86,中11週,Y,,3,タートルボウル,デュランダル,
15,8,ファルコニア,牡6,吉田隼,栗東・高野,先行,32.5,10,9,,35.1,468(-4),東京,55,中7週,Y,,3,ディープインパクト,Hawk Wing,
16,8,ゾンニッヒ,牡5,菅原明,栗東・池江,差し,9.5,5,2,,33.4,472(0),中山,20,中2週,Y,,3,ラブリーデイ,ディープインパクト,
