着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,テイエムベンチャー,牡5,58.0,国分恭,1:52.1,,13,158.0,37.4,栗東鈴木孝,502(0)
2,5,9,トップオブジェラス,牡4,58.0,横山武,1:52.1,アタマ,2,7.0,37.1,美浦高木,528(-2)
3,2,2,ミッキーヌチバナ,牡5,58.0,ルメー,1:52.2,1/2,1,2.0,36.9,栗東高橋亮,516(-4)
4,6,11,ゼウスバイオ,牡4,58.0,吉田隼,1:52.8,3.1/2,5,9.2,37.2,栗東畑端,504(+2)
5,3,5,コパノニコルソン,牡4,58.0,泉谷,1:52.9,1/2,6,13.1,37.5,栗東宮,522(+2)
6,6,10,ステイブルアスク,牝5,56.0,古川奈,1:53.1,1.1/4,4,7.5,37.5,栗東矢作,438(-4)
7,2,3,インベルシオン,牡4,58.0,鮫島駿,1:53.1,アタマ,11,54.2,37.9,栗東清水久,548(+2)
8,8,15,ダッチマン,セ6,58.0,幸,1:53.3,1.1/4,14,207.1,37.9,栗東音無,462(-2)
9,7,12,サンライズシェリー,牡6,58.0,団野,1:53.4,クビ,10,52.7,38.0,栗東河内,486(+2)
10,8,14,コパノリッチマン,牡6,58.0,酒井,1:53.5,3/4,12,58.1,37.7,栗東村山,510(-4)
11,4,7,ナリタフォルテ,牡5,58.0,富田,1:53.6,アタマ,8,27.8,38.1,栗東木原,592(-4)
12,7,13,ワンダーエカルテ,牝7,56.0,長岡,1:54.3,4,15,431.8,38.6,栗東石橋,518(+2)
13,5,8,ダンテスヴュー,牡4,58.0,岩田望,1:54.6,1.3/4,3,7.1,39.3,栗東友道,466(-4)
14,1,1,ラルフ,牡5,58.0,武豊,1:55.7,7,7,21.6,39.7,栗東荒川,498(-2)
15,3,4,クレスコジョケツ,牝4,56.0,藤岡佑,1:59.7,大,9,39.5,43.6,栗東木原,472(0)
