馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,エスシーヴィオラ,牝5,丸田,美浦・宗像,差し,175.7,13,15,,40.3,484(+2),中山,28,中3週,Y,,3,カジノドライヴ,Fusaichi Pegasus,
2,2,マーキュリーセブン B,セ6,永野,美浦・加藤和,差し,290.3,15,12,,36.7,454(0),東京,293,中41週,Y,Y,3,フサイチセブン,フジキセキ,
3,2,プラチナトレジャー,牡5,田辺,美浦・国枝,差し,15.0,5,6,,33.4,482(+8),阪神,35,中4週,Y,,3,キングカメハメハ,クロフネ,
4,3,カフェスペランツァ,牡6,吉田豊,美浦・中舘,差し,245.1,14,11,,37.8,520(0),中山,42,中5週,Y,,3,ハーツクライ,Bandini,
5,3,マイネルクロンヌ,牡6,津村,美浦・青木,,25.8,8,9,,38.3,508(-6),中山,28,中3週,Y,,3,オルフェーヴル,マイネルラヴ,
6,4,ガンダルフ,牡5,レーン,美浦・国枝,先行,4.5,2,8,,38.5,490(+2),中山,42,中5週,Y,,3,キングカメハメハ,Distorted Humor,
7,4,サトノスライヴ,牡6,Ｍデム,美浦・上原佑,差し,16.5,7,1,4歳以上2勝クラス,37.0,518(-2),中山,21,中2週,Y,,3,ルーラーシップ,エンパイアメーカー,
8,5,ヴェノム,牡5,武士沢,美浦・天間,差し,123.5,12,1,,37.3,526(-11),金沢,125,中17週,,,0,リオンディーズ,Smart Strike,
9,5,タイセイスラッガー B,牡5,菅原明,美浦・高橋裕,先行,50.4,9,9,,38.9,538(-8),中山,42,中5週,Y,,3,タイセイレジェンド,マンハッタンカフェ,
10,6,トラモント,セ6,北村宏,美浦・新開,先行,16.1,6,6,,37.7,504(-4),中山,42,中5週,Y,,3,アイルハヴアナザー,フレンチデピュティ,
11,6,グラスデスティーノ B,牡6,木幡巧,美浦・牧,先行,54.9,10,8,,37.9,472(-4),中山,28,中3週,Y,,3,ワールドエース,シンボリクリスエス,
12,7,オンザライン,牡5,石橋脩,美浦・大和田,先行,8.5,4,2,,35.8,456(0),中京,21,中2週,Y,,3,スクリーンヒーロー,ディープインパクト,
13,7,ホウオウルーレット,牡4,大野,美浦・栗田,差し,2.5,1,2,,37.4,496(+2),中山,28,中3週,Y,,3,ロージズインメイ,ゴールドアリュール,
14,8,スズカデレヤ,牡6,田中勝,栗東・大橋,差し,64.6,11,10,,37.6,518(-10),中山,100,中13週,Y,,3,エスケンデレヤ,アドマイヤベガ,
15,8,レッドラパルマ B,牡4,横山武,美浦・加藤征,先行,4.5,3,3,,37.9,494(-6),中山,28,中3週,Y,,3,イスラボニータ,ストラヴィンスキー,
