馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,キラリヒカルゲーム,牝4,菊沢,美浦・小手川,先行,73.6,13,3,迎春賞,40.0,500(+6),笠松,95,中13週,,,0,エイシンヒカリ,シンボリクリスエス,
2,2,ラフダイヤモンド,牝6,丸山,栗東・高橋康,差し,53.9,10,12,,37.5,478(+4),小倉,91,中12週,Y,,3,グランプリボス,Danzig,
3,2,ルージュアルル,牝4,佐々木,美浦・国枝,先行,4.6,2,7,4歳以上1勝クラス,36.3,474(-12),中京,34,中4週,Y,,3,ハーツクライ,Smart Strike,
4,3,アドマイヤハイジ,牝5,角田和,栗東・友道,差し,54.3,11,9,4歳以上1勝クラス,35.0,426(+6),小倉,91,中12週,Y,,3,ノヴェリスト,ディープインパクト,
5,3,ツッチーフェイス,牝4,小沢,栗東・今野,差し,8.8,5,5,4歳以上1勝クラス,36.6,470(+22),小倉,76,中10週,Y,,3,ハービンジャー,スペシャルウィーク,
6,4,キヨラ,牝5,,美浦・堀内,,16.4,6,8,4歳以上1勝クラス,37.0,468(-4),小倉,48,中6週,Y,,3,エピファネイア,ラムタラ,
7,4,オメガオリーブ,牝4,斎藤,美浦・大和田,先行,16.5,7,9,4歳以上1勝クラス,34.6,404(0),東京,55,中7週,Y,,3,ゴールドシップ,キングカメハメハ,
8,5,チョッピー,牝4,菱田,栗東・北出,差し,17.7,8,6,3歳未勝利,35.9,450(+2),小倉,273,中38週,Y,Y,3,ブラックタイド,キングカメハメハ,
9,5,フォレスタ,牝5,丹内,美浦・嘉藤,先行,3.0,1,2,4歳以上1勝クラス,36.3,420(+6),小倉,48,中6週,Y,,3,ヴァンセンヌ,オペラハウス,
10,6,サツキハピネス,牝5,柴田大,美浦・土田,差し,90.6,14,9,4歳以上1勝クラス,36.7,462(+8),東京,62,中8週,Y,,3,エピファネイア,ディープインパクト,
11,6,シュホ,牝4,勝浦,美浦・尾関,追込,43.0,9,9,4歳以上1勝クラス,35.8,412(0),小倉,70,中9週,Y,,3,スクリーンヒーロー,ヨハネスブルグ,
12,7,ニジイロノコマ,牝4,嶋田,美浦・松山,差し,62.8,12,5,4歳以上1勝クラス,35.7,480(+8),中京,35,中4週,Y,,3,ドゥラメンテ,Monarchos,
13,7,マロリン B,牝7,小林美,美浦・武市,追込,298.1,15,13,4歳以上1勝クラス,35.2,486(-4),福島,7,連闘,Y,,3,ヴィクトワールピサ,Selkirk,
14,8,ゴルトシュミーデ,牝4,亀田,栗東・村山,差し,6.9,4,3,,34.8,434(+2),小倉,48,中6週,Y,,3,オルフェーヴル,Kaldoun,
15,8,カヨウネンカ,牝4,,美浦・斎藤誠,差し,6.1,3,7,4歳以上1勝クラス,36.8,460(+8),中山,27,中3週,Y,,3,ゴールドシップ,ゼンノエルシド,
