着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,コンシリエーレ,牡4,57.0,ルメー,1:36.3,,1,2.0,36.8,美浦稲垣,552(-10)
2,8,15,ハセドン,牡4,58.0,横山和,1:36.3,クビ,2,5.4,35.4,栗東安田翔,472(-4)
3,7,14,アドマイヤルプス,セ6,58.0,内田博,1:36.4,クビ,4,7.9,36.6,美浦加藤征,548(-2)
4,2,3,アラジンバローズ,セ6,57.0,永野,1:36.4,クビ,6,24.7,35.8,栗東中内田,474(-4)
4,4,7,エイシンギアアップ,牡5,57.0,石川,1:36.4,クビ,14,104.3,35.9,栗東中尾,512(-4)
6,5,9,ダノンスプレンダー,牡7,59.0,北村宏,1:36.6,1,16,167.9,36.6,栗東安田隆,508(-4)
7,8,16,タイセイサムソン,牡5,57.0,横山典,1:36.7,1/2,3,6.1,36.2,美浦奥村武,510(-8)
8,7,13,サンダーブリッツ,牡6,58.0,田辺,1:36.7,クビ,8,36.8,36.7,美浦久保田,506(-8)
9,5,10,ベルダーイメル,牡6,58.0,津村,1:36.8,1/2,9,37.8,37.1,栗東本田,454(-10)
10,3,5,ヴァルツァーシャル,牡4,57.0,菅原明,1:37.0,3/4,5,10.8,37.5,美浦高木,490(0)
11,4,8,イバル,牡6,57.0,Mデム,1:37.2,1.1/4,13,93.8,37.0,栗東小崎,512(-4)
12,1,1,デンコウリジエール,牡6,59.0,秋山真,1:37.3,1,15,116.5,37.0,栗東荒川,478(-4)
13,3,6,ゴールドレガシー,牡5,57.0,藤懸,1:37.3,ハナ,11,74.9,37.0,栗東平田,488(-16)
14,6,12,ロードシュトローム,牡5,57.0,戸崎圭,1:37.6,1.3/4,7,31.2,38.2,栗東清水久,512(-10)
15,1,2,ジャズブルース,牡4,57.0,大野,1:38.4,5,10,59.4,38.4,栗東吉村,460(-3)
16,2,4,グランデマーレ,牡6,57.0,吉田豊,1:38.6,1,12,84.7,38.9,栗東藤岡,506(0)
