馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,オメガシンフォニー,牝3,川田,美浦・大和田,先行,3.1,1,3,,35.5,482(+4),阪神,63,中8週,Y,,3,ヘニーヒューズ,ダイワメジャー,
2,2,キョウエイゲイル,牡3,高倉,栗東・田中克,先行,19.9,8,5,,37.3,472(+2),中京,49,中6週,Y,,3,マクフィ,ルーラーシップ,
3,3,ゼットリアン,牡3,鮫島駿,栗東・吉田,差し,7.0,5,2,,36.9,438(+12),東京,70,中9週,Y,,3,モーリス,ネオユニヴァース,
4,4,スマートフォルス,牡3,武豊,栗東・吉村,差し,6.0,3,6,,37.2,472(-8),中京,49,中6週,Y,,3,シニスターミニスター,ロードカナロア,
5,5,ミラクルティアラ,牝3,松山,栗東・加用,先行,4.1,2,1,3歳1勝クラス,37.1,434(-2),阪神,43,中5週,Y,,3,ヘニーヒューズ,フジキセキ,
6,6,パラシュラーマ,牡3,岩田望,栗東・浜田,差し,42.7,10,8,,37.8,470(+2),中京,49,中6週,Y,,3,トランセンド,マンハッタンカフェ,
7,6,エコロアレス,牡3,ルメー,栗東・森秀,逃げ,12.9,6,12,,,,キングアブドゥルアジーズ,64,中8週,,,2,Unified,Heatseeker,
8,7,エコロアイ,牝3,池添,栗東・森秀,,70.7,11,17,,38.3,502(+2),阪神,49,中6週,Y,,2,Shackleford,Dixie Union,
9,7,マホロバ,牡3,坂井,美浦・和田郎,先行,18.9,7,1,3歳1勝クラス,37.0,516(+4),阪神,21,中2週,Y,,3,キズナ,Raven's Pass,
10,8,フェルヴェンテ,牡3,浜中,栗東・加用,先行,42.6,9,1,,37.1,468(-2),阪神,189,中26週,Y,Y,3,ダノンバラード,Exceed And Excel,
11,8,ミルトハンター,牡3,横山武,栗東・中竹,差し,6.9,4,2,,38.0,480(+8),中京,49,中6週,Y,,3,ヘニーヒューズ,スエヒロコマンダー,
