着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,ベジャール,牡4,58.0,川田,1:36.3,,2,4.4,36.6,美浦田中博,560(+4)
2,4,8,グランツアーテム,牡5,58.0,三浦,1:36.3,ハナ,5,9.9,36.4,美浦中川,508(+2)
3,5,10,ライラボンド,牡4,58.0,小林勝,1:36.5,1.1/2,15,196.9,36.9,美浦杉浦,520(+2)
4,8,15,ミッキーヌチバナ,牡5,58.0,ルメー,1:36.7,3/4,1,2.6,36.9,栗東高橋亮,516(0)
5,3,6,カラフルキューブ,牝4,56.0,北村友,1:36.9,1.1/4,7,22.7,36.6,栗東高野,480(-2)
6,7,14,ロコポルティ,牡5,58.0,石橋脩,1:37.0,3/4,9,31.5,36.8,栗東西園正,532(+4)
7,2,4,ジョディーズマロン,牡5,58.0,池添,1:37.2,1.1/4,10,33.3,37.2,栗東北出,470(-2)
8,4,7,ラブリーエンジェル,牝6,56.0,内田博,1:37.2,アタマ,12,82.3,36.6,美浦鈴木慎,456(+2)
9,1,2,リキサントライ,牡5,58.0,北村宏,1:37.3,1/2,16,202.9,37.1,栗東緒方,498(-4)
10,6,11,メンアットワーク,牡4,58.0,横山武,1:37.4,3/4,4,7.4,37.0,美浦斎藤誠,460(-2)
11,7,13,プラチナトレジャー,牡5,58.0,田辺,1:37.6,1.1/4,8,23.5,37.1,美浦国枝,478(-4)
12,6,12,サトノアポロン,セ5,58.0,横山和,1:37.7,クビ,3,6.5,38.3,栗東安田隆,492(+2)
13,3,5,カフェスペランツァ,牡6,58.0,吉田豊,1:38.0,2,14,195.6,37.2,美浦中舘,516(-4)
14,8,16,ベストフィーリング,牡4,58.0,坂井,1:38.1,1/2,6,16.8,38.6,美浦手塚,500(-2)
15,1,1,ショウナンマリオ,牡6,58.0,菅原明,1:39.2,7,13,115.8,39.2,美浦加藤士,500(0)
16,2,3,エコロファルコン,牡5,58.0,原,1:39.6,2,11,43.0,40.2,美浦矢野,494(-6)
