馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,フローレンスハニー,牝4,戸崎圭,栗東・高柳大,差し,5.5,4,1,4歳以上1勝クラス,34.3,430(-10),京都,20,中2週,Y,,3,エイシンヒカリ,El Corredor,
2,2,ネバーゴーンアウト,セ6,水沼,美浦・加藤和,差し,140.3,9,8,4歳以上2勝クラス,34.2,486(-6),東京,20,中2週,Y,,3,ヴィクトワールピサ,ゼンノロブロイ,
3,3,リサリサ,牝3,石川,美浦・田村,差し,3.0,1,1,3歳1勝クラス,33.9,470(-2),東京,28,中3週,Y,,3,イスラボニータ,タイキシャトル,
4,4,ベストクィーン,牝7,藤田菜,美浦・南田,差し,81.7,8,13,,36.0,426(-2),東京,7,連闘,Y,,3,スクリーンヒーロー,トウカイテイオー,
5,5,ルルローズ,牝5,杉原,美浦・伊藤大,,9.3,6,4,,34.2,464(+2),東京,14,中1週,Y,,3,トゥザグローリー,ブライアンズタイム,
6,6,ミキノバスドラム B,牡5,永野,美浦・南田,逃げ,146.6,10,16,,36.3,508(+8),新潟,14,中1週,Y,,3,ミキノバンジョー,ディアブロ,
7,7,チャーミングアクト,牝6,丹内,栗東・飯田雄,先行,9.3,5,9,4歳以上2勝クラス,33.4,464(-8),京都,21,中2週,Y,,3,ヴァンセンヌ,エンドスウィープ,
8,7,ティーガーデン,牡4,レーン,美浦・萩原,差し,3.5,2,2,4歳以上2勝クラス,34.0,496(-2),東京,28,中3週,Y,,3,ドゥラメンテ,シンボリクリスエス,
9,8,ココリホウオウ,牡5,北村宏,美浦・古賀,先行,4.9,3,3,4歳以上2勝クラス,34.4,476(+4),東京,28,中3週,Y,,3,ワールドエース,ファンタスティックライト,
10,8,パルデンス,牡5,佐々木,美浦・中野,差し,52.6,7,6,’23メト,35.1,486(-10),大井,11,中1週,,,2,ディープブリランテ,ファルブラヴ,
