着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,9,イヤサカ,牝5,56.0,酒井,2:28.5,,4,7.4,37.3,美浦天間,482(-2)
2,7,10,ハーツオブシャカ,牡5,58.0,川田,2:29.2,4,2,4.1,37.7,栗東鮫島,478(+8)
3,4,5,ニャンチンノン,牡4,58.0,団野,2:29.5,2,10,63.6,38.0,栗東中竹,462(+4)
4,7,11,メイショウコジョウ,牡6,58.0,菱田,2:29.7,1.1/4,6,14.8,38.0,栗東石橋,462(-10)
5,5,6,ビルボードクィーン,牝5,56.0,小崎,2:29.9,1.1/2,11,82.4,37.8,栗東小崎,446(-8)
6,8,13,タガノカイ,牡5,58.0,古川吉,2:29.9,ハナ,3,6.9,38.5,栗東宮,514(-6)
7,5,7,ブリングトゥライフ,牝5,56.0,岩田望,2:30.0,アタマ,7,14.9,38.6,栗東畑端,480(+10)
8,1,1,レッドエンヴィー,牡7,58.0,松若,2:30.3,2,8,17.9,38.3,栗東坂口,504(-6)
9,6,8,ファジェス,牝5,56.0,坂井,2:30.5,1.1/2,5,8.6,39.6,栗東安田隆,496(-4)
10,3,3,クリノキングボス,牡6,58.0,城戸,2:30.6,クビ,13,300.9,38.5,美浦天間,474(+2)
11,4,4,ブラックラテ,牡5,58.0,荻野極,2:31.5,5,9,21.8,39.2,栗東梅田,488(-2)
12,8,12,スズノマーベリック,牡4,58.0,藤岡康,2:32.1,3.1/2,1,2.9,40.4,栗東石坂,470(-4)
13,2,2,キボウノダイチ,セ8,58.0,田中健,2:32.4,1.3/4,12,83.4,40.5,栗東飯田雄,508(+2)
