着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,アップリバー,牝5,53.0,吉田隼,1:08.6,,7,13.4,34.7,美浦牧,506(+14)
2,2,2,ヴィアドロローサ,牡4,57.0,横山和,1:08.9,2,5,9.3,34.7,栗東安田隆,446(0)
3,8,15,ジョリダム,牝3,52.0,小沢,1:08.9,アタマ,11,43.0,34.8,栗東武英,432(-6)
4,3,4,ワックスフラワー,牝3,52.0,黛,1:08.9,ハナ,1,4.3,34.6,美浦深山,446(+4)
5,8,14,トーセンサンダー,牡4,56.0,古川吉,1:08.9,アタマ,8,19.0,34.2,美浦杉浦,472(-8)
6,4,7,ショウナンアメリア,牝4,55.0,浜中,1:09.0,クビ,3,5.5,34.8,美浦奥村武,456(-2)
7,3,5,クラリティスケール,牝4,55.0,鮫島駿,1:09.0,クビ,2,5.3,34.0,美浦菊沢,456(+2)
8,1,1,セイレーン,牝5,52.0,佐々木,1:09.2,1,12,60.8,34.8,栗東佐々木,400(-10)
9,2,3,ベジェサ,牝4,52.0,池添,1:09.2,クビ,6,9.3,34.8,栗東飯田祐,512(+6)
10,7,13,ユキノフラッシュ,牡5,55.0,横山武,1:09.3,1/2,10,26.1,34.9,栗東牧田,510(+20)
11,6,10,サニーオーシャン,セ5,55.0,岩田康,1:09.5,1.1/4,15,145.7,34.7,美浦中野,452(+8)
12,5,8,イールテソーロ,牝4,53.0,丹内,1:09.6,クビ,9,21.3,35.6,美浦加藤和,480(+2)
13,7,12,ラキ,牝6,53.0,角田和,1:09.7,3/4,13,72.2,34.3,栗東小崎,484(+16)
14,6,11,ポピュラーソング,牝6,53.0,北村友,1:09.8,1/2,14,127.3,35.3,美浦土田,458(+12)
15,5,9,ウメムスビ,牡3,54.0,武豊,1:09.9,クビ,4,6.2,35.7,栗東新谷,450(+2)
