馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,シャンバラ,牡4,岩田望,栗東・橋口,差し,6.9,4,1,4歳以上1勝クラス,38.4,520(+2),阪神,77,中10週,Y,,3,ワンアンドオンリー,Unbridled's Song,
2,1,パトリオットラン,牡4,角田河,栗東・渡辺,,28.9,8,2,4歳以上2勝クラス,36.4,538(-2),阪神,70,中9週,Y,,3,アメリカンペイトリオット,Kingmambo,
3,2,グリューヴルム,牡4,和田竜,栗東・大久保,先行,8.1,5,5,,39.4,500(+10),中山,76,中10週,Y,,3,キズナ,クロフネ,
4,2,レイメイ,牡4,秋山真,美浦・的場,差し,245.0,15,12,,40.0,480(-6),京都,27,中3週,Y,,3,ザファクター,ルーラーシップ,
5,3,モネータドーロ,牡4,荻野極,美浦・宗像,先行,97.9,11,1,4歳以上1勝クラス,37.8,476(-6),新潟,48,中6週,Y,,3,ハーツクライ,Medaglia d'Oro,
6,3,テーオーサンドニ B,牡4,坂井,栗東・高柳大,逃げ,2.9,1,2,4歳以上2勝クラス,38.3,470(+4),東京,56,中7週,Y,,3,キタサンブラック,Pivotal,
7,4,キタノセレナード,牡4,川田,栗東・坂口,先行,6.5,3,4,,39.0,440(-2),京都,27,中3週,Y,,3,ホッコータルマエ,ディープインパクト,
8,4,オーロイプラータ B,牡3,団野,栗東・宮本,差し,3.7,2,5,,37.1,532(0),京都,34,中4週,Y,,3,リアルインパクト,シングスピール,
9,5,ダノンハイファイブ,牡5,松若,栗東・坂口,先行,224.9,14,10,,39.9,494(+14),中山,166,中23週,Y,,3,ハーツクライ,Galileo,
10,5,ルーパステソーロ B,牡5,,美浦・加藤士,先行,156.0,12,11,,40.6,544(0),京都,27,中3週,Y,,3,ゴールドシップ,A.P. Indy,
11,6,シュガーコルト B,セ4,,栗東・寺島,差し,20.6,7,2,,38.7,490(-4),京都,27,中3週,Y,,3,ヘニーヒューズ,Kingmambo,
12,6,アンクラウデッド,牡5,西村淳,美浦・古賀,先行,70.4,10,7,4歳以上2勝クラス,38.4,490(-8),東京,56,中7週,Y,,3,ジャスタウェイ,ホワイトマズル,
13,7,メイショウマントル,牡5,国分優,栗東・安達,差し,45.3,9,1,4歳以上1勝クラス,37.9,512(-8),京都,28,中3週,Y,,3,メイショウボーラー,Fusaichi Pegasus,
14,7,ハイラブハンター,牡5,和田翼,栗東・谷,差し,398.4,16,7,,39.7,486(-6),京都,27,中3週,Y,,3,メイショウサムソン,メイショウボーラー,
15,8,キングダムウイナー B,牡6,高倉,栗東・田中克,差し,183.4,13,7,4歳以上2勝クラス,37.2,506(+2),阪神,70,中9週,Y,,3,ディープインパクト,Mutakddim,
16,8,ウインヴェルデ B,牡4,松山,栗東・加用,先行,12.9,6,1,4歳以上1勝クラス,38.7,488(-2),京都,34,中4週,Y,,3,ロージズインメイ,マイネルラヴ,
