馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アスクコンナモンダ,牡4,川田,栗東・中内田,差し,3.0,1,1,4歳以上2勝クラス,34.5,452(+4),京都,70,中9週,Y,,3,ダイワメジャー,Monsun,
2,2,シュヴェルトライテ,牝4,和田竜,美浦・池上,差し,35.2,11,11,,34.5,436(-6),東京,41,中5週,Y,,3,マツリダゴッホ,フレンチデピュティ,
3,3,ベルクレスタ,牝4,藤岡康,栗東・須貝,先行,5.2,3,1,,32.7,482(+2),阪神,13,中1週,Y,,3,ドゥラメンテ,Numerous,
4,4,アサヒ,牡4,,美浦・金成,先行,9.2,4,2,,34.8,510(-2),東京,55,中7週,Y,,3,カレンブラックヒル,デインヒル,
5,4,クルゼイロドスル,牡3,坂井,栗東・高橋忠,,3.8,2,,,,474(0),東京,55,中7週,Y,,3,ファインニードル,アルカセット,
6,5,ルージュラテール,牝4,菱田,栗東・矢作,差し,20.6,9,12,,36.8,482(-6),東京,20,中2週,Y,,3,ハーツクライ,Mr. Greeley,
7,5,ダンテスヴュー,牡4,岩田望,栗東・友道,差し,19.8,8,13,,39.3,474(+8),阪神,83,中11週,Y,,3,キングカメハメハ,フレンチデピュティ,
8,6,ヴィルヘルム,牡5,荻野極,栗東・池江,逃げ,19.3,7,2,,33.6,506(-4),中京,286,中40週,Y,Y,3,エピファネイア,アドマイヤベガ,
9,6,スズカトップバゴ,セ5,太宰,栗東・吉村,先行,74.2,12,13,,35.4,458(-6),京都,48,中6週,Y,,3,バゴ,ダイワメジャー,
10,7,ボーデン,牡5,北村宏,美浦・木村,差し,30.7,10,5,,33.6,504(0),阪神,76,中10週,Y,,3,ハービンジャー,キングカメハメハ,
11,7,ペースセッティング,牡3,団野,栗東・安田隆,先行,16.4,6,16,,33.0,484(0),京都,35,中4週,Y,,3,Showcasing,Fast Company,
12,8,オールイズウェル,牡7,酒井,栗東・佐々木,先行,80.3,13,6,,33.9,498(+4),阪神,76,中10週,Y,,3,ルーラーシップ,ゼンノロブロイ,
13,8,トランキリテ,牡4,松山,栗東・松永幹,逃げ,15.8,5,4,,34.8,472(+12),東京,55,中7週,Y,,3,ルーラーシップ,ゼンノロブロイ,
