着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,6,ブライトジュエリー,牝3,53.0,川田,2:11.5,,1,1.7,35.2,栗東橋口,440(+8)
2,2,2,ヴェルテンベルク,牡3,55.0,西村淳,2:11.6,1,2,3.8,35.1,栗東宮本,474(-6)
3,7,8,サンスノーフレーク,牝3,53.0,酒井,2:11.6,アタマ,6,16.8,34.8,栗東長谷川,460(-2)
4,1,1,ヴァリージア,牡3,55.0,団野,2:11.7,1/2,5,15.3,35.2,栗東斉藤崇,500(0)
5,5,5,グルーヴビート,牡5,58.0,坂井,2:12.5,5,7,53.5,35.6,栗東中村,480(-2)
6,4,4,ジューンアヲニヨシ,牡3,55.0,池添,2:12.7,1.1/4,4,11.9,36.3,栗東松下,474(-2)
7,3,3,ゼンノインヴォーク,牡4,58.0,岩田望,2:12.8,3/4,3,5.7,36.6,栗東四位,446(-4)
8,7,7,スカパラダイス,牡3,55.0,松山,2:13.0,1.1/2,9,118.7,36.1,栗東寺島,452(+2)
9,8,9,リツィタル,牝5,56.0,和田竜,2:13.2,1,8,82.0,37.2,栗東牧田,404(-4)
10,8,10,ホウオウスミヨシ,牡4,58.0,秋山稔,2:13.7,3,10,372.5,37.6,栗東宮,534(-4)
