馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ムエックス,牡5,国分優,栗東・大根田,先行,225.9,11,7,,39.8,508(-6),京都,49,中6週,Y,,3,アジアエクスプレス,アドマイヤマックス,
2,2,メイショウブレゲ,牡4,泉谷,栗東・本田,差し,17.3,6,4,,33.8,462(0),阪神,41,中5週,Y,,3,ゴールドシップ,パイロ,
3,3,シンシアウィッシュ,牝4,松山,栗東・吉村,先行,4.9,2,5,,36.9,446(-6),阪神,27,中3週,Y,,3,キズナ,Galileo,
4,4,オールザワールド,牡6,,栗東・中竹,差し,62.8,9,16,,38.2,468(-8),中京,112,中15週,Y,,3,キズナ,Dansili,
5,5,レッドラディエンス,牡4,川田,栗東・友道,先行,1.9,1,1,,33.7,486(-2),京都,70,中9週,Y,,3,ディープインパクト,Jump Start,
6,6,サウンドウォリアー,牡5,松若,栗東・高橋康,,8.9,4,3,,34.2,492(0),阪神,41,中5週,Y,,3,マジェスティックウォリアー,スペシャルウィーク,
7,6,ダノングロワール,牡6,酒井,美浦・国枝,先行,69.8,10,11,,35.6,486(-14),東京,35,中4週,Y,,3,ハーツクライ,Sightseeing,
8,7,レヴェッツァ,セ5,団野,栗東・斉藤崇,差し,17.3,7,5,,33.8,470(-4),阪神,41,中5週,Y,,3,ドゥラメンテ,City Banker,
9,7,リフレーミング,牡5,藤岡康,栗東・鮫島,差し,6.4,3,2,,33.8,466(-12),東京,21,中2週,Y,,3,キングヘイロー,バトルプラン,
10,8,アップデート,牡4,菱田,栗東・杉山晴,差し,31.4,8,7,,33.8,508(+2),阪神,41,中5週,Y,,3,エピファネイア,ステイゴールド,
11,8,ファユエン,牝5,岩田望,美浦・勢司,差し,11.3,5,5,,33.2,460(-8),東京,21,中2週,Y,,3,ヴァンセンヌ,アグネスデジタル,
