着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,サイード,セ4,59.0,☆小牧加,3:20.3,,1,1.1,13.4,栗東角田,500(+8)
2,2,2,アルカンサス,牡4,57.0,▲水沼,3:20.6,2,4,13.7,13.4,美浦土田,472(-4)
3,5,5,スターファースト,牡4,60.0,難波,3:20.8,1.1/2,9,84.8,13.4,栗東小崎,492(0)
4,8,10,アドマイヤアルバ,セ8,60.0,上野,3:21.0,3/4,2,9.7,13.4,美浦堀内,472(+8)
5,7,7,サクラトップラン,牝4,58.0,小野寺,3:21.5,3,5,24.6,13.4,栗東中尾,460(+4)
6,1,1,ネオストーリー,牡6,60.0,金子,3:21.8,2,7,33.9,13.5,美浦上原博,484(+24)
7,3,3,シゲルタイタン,牡6,60.0,草野,3:22.9,7,3,11.0,13.5,美浦伊藤圭,488(-4)
8,7,8,キールロワイヤル,牡3,58.0,平沢,3:23.4,3,8,68.6,13.6,栗東斉藤崇,472(+12)
9,8,9,ニシノスナイパー,牡3,58.0,大江原,3:25.3,大,10,110.2,13.7,美浦小桧山,452(-4)
10,6,6,キボウノダイチ,セ8,60.0,黒岩,3:27.3,大,6,26.1,13.8,栗東飯田雄,502(-6)
