着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,5,ファーヴェント,牡2,55.0,松山,1:50.8,,1,1.3,33.4,栗東藤原,504(0)
2,5,6,ゲンヨウサイ,牡2,55.0,松若,1:51.1,2,10,67.1,33.4,栗東西園翔,478(0)
3,3,3,コガネノソラ,牝2,55.0,柴田大,1:51.2,1/2,2,6.2,34.0,美浦菊沢,438(0)
4,1,1,フナデ,牡2,52.0,▲田口,1:51.2,ハナ,6,32.3,33.8,栗東飯田雄,426(0)
5,7,10,ベルノレイズ,牡2,55.0,和田竜,1:51.3,1/2,5,24.4,33.7,栗東小林,502(0)
6,8,12,アルデドゥオーモ,牡2,55.0,木幡巧,1:52.1,5,4,18.9,34.3,美浦矢野,460(0)
7,6,9,サイコウダネ,牡2,55.0,北村宏,1:52.1,クビ,8,53.3,34.7,栗東清水久,438(0)
8,8,13,イモータルバード,牡2,55.0,坂井,1:52.4,1.3/4,3,8.2,34.3,美浦栗田,466(0)
9,6,8,ショコラエクレール,牝2,55.0,菅原隆,1:52.5,1/2,13,314.1,34.9,美浦浅野,454(0)
10,5,7,トモジャデュポー,牡2,55.0,津村,1:52.5,クビ,7,38.8,35.3,美浦鈴木伸,480(0)
11,4,4,サノノブレイダー,牡2,54.0,☆秋山稔,1:52.8,1.1/2,12,274.3,34.2,美浦蛯名利,450(0)
12,7,11,メイショウパロマー,牡2,55.0,菱田,1:52.8,クビ,11,128.7,35.3,栗東安達,476(0)
13,2,2,テンノナウシカ,牝2,52.0,▲永島,1:53.5,4,9,55.4,35.3,栗東高柳大,434(0)
