着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,ブローザホーン,牡4,57.0,岩田康,2:42.0,,1,2.3,35.4,美浦中野,422(-6)
2,8,14,アケルナルスター,牡4,57.0,丹内,2:43.0,6,4,8.3,36.3,美浦清水英,472(-4)
3,5,7,ダンディズム,セ7,57.0,富田,2:43.1,アタマ,6,18.6,36.0,栗東野中,470(+4)
4,8,13,ジェットモーション,セ7,57.0,藤岡佑,2:43.1,アタマ,8,36.4,36.0,栗東藤岡,550(+4)
5,7,12,シルブロン,牡5,57.0,ルメー,2:43.1,クビ,2,4.1,35.8,美浦稲垣,506(+12)
6,6,9,サトノエルドール,牡7,58.0,池添,2:43.2,クビ,12,81.7,35.8,美浦国枝,474(-2)
7,5,8,サンアップルトン,牡7,57.0,柴田善,2:43.4,1.1/4,11,74.5,35.8,美浦中野,474(-2)
8,3,3,レッドジェニアル,セ7,58.0,横山琉,2:43.8,2.1/2,13,229.1,36.0,栗東高橋忠,480(+4)
9,1,1,ベスビアナイト,セ6,57.0,柴山,2:44.0,1.1/4,10,54.4,36.3,美浦国枝,496(-6)
10,3,4,キングオブドラゴン,牡6,58.0,吉田隼,2:44.4,2,3,6.5,36.8,栗東矢作,520(+16)
11,4,5,ボスジラ,牡7,59.0,横山武,2:44.8,2.1/2,5,9.6,37.9,美浦国枝,508(+6)
12,6,10,シークレットラン,牡7,57.0,古川吉,2:44.9,1/2,14,316.6,37.8,栗東村山,508(-2)
13,7,11,プライドランド,牡7,57.0,北村友,2:46.8,大,7,20.9,40.2,栗東高野,482(+6)
14,2,2,カウディーリョ,セ7,58.0,佐々木,2:59.9,大,9,45.6,51.9,美浦堀,434(-10)
