着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,オクタヴィアヌス,牡3,55.0,ルメー,1:57.6,,3,4.2,33.7,美浦木村,510(0)
2,6,11,ホウオウムサシ,牡3,55.0,石川,1:58.7,7,4,7.7,34.5,美浦蛯名正,440(0)
3,2,3,テラフォーミング,牡4,58.0,津村,1:58.7,クビ,7,21.8,35.1,美浦相沢,486(+8)
4,4,6,ロードプレイヤー,牡3,55.0,菅原明,1:58.8,1/2,1,2.8,34.5,美浦尾形,452(0)
5,3,4,ローブエリタージュ,牝4,56.0,丸山,1:58.9,3/4,8,26.7,34.4,美浦手塚,400(0)
6,3,5,ルクスビッグスター,牡3,55.0,北村宏,1:59.0,クビ,9,42.8,34.8,栗東清水久,476(+4)
7,4,7,ヒシルリアン,牡3,55.0,戸崎圭,1:59.2,1.1/4,2,3.6,35.2,美浦宮田,502(+8)
8,8,15,ホウオウサンデー,牡5,58.0,田辺,1:59.3,3/4,6,20.1,34.2,美浦奥村武,448(-2)
9,5,9,マイネルデステリョ,牡6,58.0,柴田大,1:59.3,ハナ,10,100.6,34.6,美浦畠山,452(-14)
10,6,10,イケイケドンドン,牡3,55.0,大野,1:59.6,1.1/2,5,12.9,34.4,美浦松山,458(-10)
11,8,14,サインオブサクセス,牡4,58.0,永野,2:00.0,2.1/2,11,173.7,35.5,美浦伊藤圭,470(-8)
12,2,2,ナミブ,セ7,58.0,杉原,2:00.2,1.1/4,14,299.1,35.2,美浦南田,462(+2)
13,7,12,ラブエスポー,牝6,56.0,江田照,2:01.0,5,15,308.9,35.2,美浦蛯名利,460(+4)
14,5,8,マイネルパリオート,牡5,58.0,木幡巧,2:01.1,3/4,12,177.0,37.3,美浦高橋裕,468(+6)
15,7,13,ユキノオウジサマ,セ4,58.0,武士沢,2:01.5,2.1/2,13,183.9,38.0,美浦田島,508(-6)
