着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,エヒト,牡6,58.0,川田,1:57.8,,3,6.8,34.9,栗東森秀,472(+2)
2,1,2,テーオーシリウス,牡5,55.0,西村淳,1:58.2,2.1/2,5,10.5,35.7,栗東奥村豊,470(-12)
3,4,7,ゴールドエクリプス,牝4,51.0,角田河,1:58.4,1,2,4.5,35.1,栗東大久保,496(+8)
4,2,4,マリアエレーナ,牝5,56.5,松山,1:58.4,クビ,1,2.7,35.5,栗東吉田,428(-2)
5,1,1,カレンルシェルブル,牡5,57.0,斎藤,1:58.5,クビ,7,20.4,34.8,栗東安田翔,512(+2)
6,5,10,ククナ,牝5,54.0,岩田望,1:58.9,2.1/2,4,7.5,35.8,美浦栗田,460(0)
7,8,15,レヴェッツァ,セ5,53.0,酒井,1:59.0,1/2,12,57.4,36.4,栗東斉藤崇,476(+6)
8,5,9,スタッドリー,牡5,56.0,坂井,1:59.2,1,10,33.2,36.1,栗東奥村豊,518(0)
9,4,8,エニシノウタ,牝5,50.0,永島,1:59.3,1/2,6,18.6,36.0,栗東笹田,454(+2)
10,3,5,モズナガレボシ,牡6,55.0,小野寺,1:59.4,3/4,14,118.4,36.3,栗東荒川,506(-4)
11,3,6,カテドラル,牡7,58.5,団野,1:59.5,1/2,8,21.7,36.0,栗東池添,488(-6)
12,7,13,アップデート,牡4,53.0,松若,1:59.6,1/2,11,34.3,36.0,栗東杉山晴,504(-4)
13,6,12,ザイツィンガー,牡7,54.0,国分恭,1:59.7,3/4,15,134.3,36.4,栗東牧田,428(-8)
14,7,14,ヴァンケドミンゴ,牡7,56.0,藤岡康,1:59.8,クビ,16,252.8,36.5,栗東藤岡,468(0)
15,6,11,ワンダフルタウン,牡5,58.0,和田竜,2:00.5,4,9,24.6,37.5,栗東高橋忠,472(+4)
16,8,16,スカーフェイス,牡7,57.0,幸,2:01.3,5,13,92.2,38.1,栗東中竹,462(+4)
