着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,7,ミラクルティアラ,牝3,53.0,横山武,1:47.1,,2,3.0,37.6,栗東加用,444(+10)
2,1,1,サンライズグルーヴ,牡3,55.0,富田,1:47.3,1.1/2,1,2.6,37.5,栗東河内,516(+10)
3,6,10,スマートムーラン,牝4,56.0,岩田康,1:47.7,2.1/2,4,7.4,36.6,栗東大久保,466(+2)
4,6,9,シュガーコルト,セ4,58.0,和田竜,1:47.8,1/2,9,73.6,37.6,栗東寺島,500(+10)
5,5,8,テンウォークライ,牡5,58.0,勝浦,1:47.8,アタマ,8,54.9,37.6,美浦金成,484(-4)
6,7,12,ニットウライジン,牡3,55.0,小林勝,1:47.9,3/4,3,7.0,38.4,美浦稲垣,498(0)
7,3,4,キョウワウォール,牡7,58.0,国分優,1:48.2,1.1/2,11,118.5,37.6,栗東飯田雄,474(-2)
8,7,11,デストロイ,セ9,58.0,山田,1:48.3,1,14,395.8,37.9,美浦高橋裕,510(+10)
9,8,13,マテンロウアイ,牝4,56.0,横山典,1:48.4,クビ,6,13.4,37.6,栗東寺島,538(+14)
10,3,3,サヴァビアン,牡5,58.0,小林凌,1:48.6,1.1/4,5,11.4,38.4,栗東羽月,430(-6)
11,4,6,ハイラブハンター,牡5,58.0,和田翼,1:48.6,クビ,13,143.2,38.1,栗東谷,496(+10)
12,8,14,マイグレーション,牡5,58.0,江田照,1:48.7,1/2,7,24.3,37.6,美浦水野,520(+6)
13,2,2,ラキ,牝6,56.0,落合玄,1:48.9,1,10,114.4,38.0,栗東小崎,476(-4)
14,4,5,ビヨンドザシーン,牡5,58.0,黛,1:49.7,5,12,127.6,39.3,美浦石毛,466(-2)
