着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,13,プログノーシス,牡5,58.0,川田,2:01.5,,2,5.1,36.0,栗東中内田,476(+2)
2,6,10,トップナイフ,牡3,55.0,横山和,2:02.2,4,9,49.6,36.9,栗東昆,482(-2)
3,1,1,ソーヴァリアント,牡5,58.0,ルメー,2:02.7,3,4,7.9,36.7,美浦大竹,508(0)
4,4,6,ダノンベルーガ,牡4,58.0,モレイ,2:02.8,3/4,3,6.3,37.1,美浦堀,508
5,7,12,ヒシイグアス,牡7,58.0,浜中,2:02.8,クビ,7,16.9,36.2,美浦堀,502(+16)
6,3,5,ジャックドール,牡5,58.0,武豊,2:03.2,2.1/2,1,2.3,37.7,栗東藤岡,516(+8)
7,8,14,イズジョーノキセキ,牝6,56.0,岩田康,2:03.3,クビ,10,50.5,36.6,栗東中村,474(0)
8,6,11,ラーグルフ,牡4,58.0,戸崎圭,2:03.7,2.1/2,11,75.1,37.6,美浦宗像,498(+4)
9,2,2,ウインマリリン,牝6,56.0,松岡,2:04.0,2,6,11.9,38.7,美浦手塚,494
10,4,7,ヤマニンサルバム,牡4,58.0,吉田隼,2:04.0,ハナ,15,426.6,38.2,栗東中村,498(-4)
11,3,4,シャフリヤール,牡5,58.0,横山武,2:04.8,5,5,9.1,39.0,栗東藤原,460
12,5,9,アフリカンゴールド,セ8,58.0,国分恭,2:05.1,1.1/2,13,204.9,40.0,栗東西園正,472(+4)
13,2,3,ウインマイティー,牝6,56.0,和田竜,2:05.3,1,12,81.7,39.2,栗東西園正,490(0)
14,5,8,マテンロウレオ,牡4,58.0,横山典,2:06.5,7,8,46.8,40.2,栗東昆,482(+8)
15,8,15,ユニコーンライオン,牡7,58.0,国分優,2:07.0,3,14,246.0,41.9,栗東矢作,526(+4)
