着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,11,ビオグラフィア,牡5,58.0,幸,1:44.9,,8,35.3,37.3,栗東松下,494(+6)
2,3,3,メイショウマントル,牡5,58.0,国分優,1:45.1,1,13,80.2,36.9,栗東安達,520(0)
3,1,1,タイセイウォリアー,牡3,55.0,田口,1:45.1,アタマ,6,19.6,38.0,栗東大橋,484(0)
4,5,7,フェルヴェンテ,牡3,55.0,団野,1:45.2,1/2,1,2.8,37.8,栗東加用,462(-6)
5,4,6,タイキドミニオン,牡5,58.0,藤岡康,1:45.2,ハナ,5,11.8,37.8,栗東高野,524(+4)
6,3,4,アイファーテイオー,牡3,55.0,藤懸,1:45.5,1.3/4,4,8.2,37.5,栗東鮫島,444(-4)
7,6,9,ワンダフルトゥデイ,牡4,58.0,水口,1:45.6,3/4,9,44.9,37.6,栗東中尾,520(-2)
8,6,10,テーオーレガシー,牡3,55.0,秋山稔,1:45.8,1.1/4,3,6.8,38.6,栗東宮,516(+4)
9,2,2,スマートアリエル,牝6,56.0,泉谷,1:46.2,2.1/2,12,57.7,39.3,栗東辻野,476(0)
10,5,8,テイエムシニスター,牡4,58.0,高倉,1:46.5,1.3/4,7,32.0,38.7,栗東木原,490(0)
11,8,14,フォーランマリア,牝4,56.0,酒井,1:46.6,クビ,10,47.9,38.6,栗東森田,410(+2)
12,7,12,ミステリーボックス,セ4,58.0,松若,1:47.5,5,14,162.2,40.0,栗東羽月,496(+6)
中止,4,5,ゴッドブルービー,牡3,55.0,角田河,,,2,2.9,,栗東角田,454(-2)
中止,8,13,メイショウハナモモ,牝5,56.0,和田竜,,,11,51.8,,栗東松永昌,480(+6)
